Unnamed: 0,Name,Price in rs,Role,TeamName,Name_canonical_id,Name_canonical_name,Name_mapping_method
0,Pawan Negi,"8,50,00,000",All-Rounder,Delhi Daredevils,f62772e5,P Negi,surname_initials_matching
1,Christopher Morris,"7,00,00,000",All-Rounder,Delhi Daredevils,UNRESOLVED,Christopher Morris,unresolved
2,Sanju Samson,"4,20,00,000",Wicket Keeper,Delhi Daredevils,a4cc73aa,SV Samson,surname_initials_matching
3,Carlos Brathwaite,"4,20,00,000",All-Rounder,Delhi Daredevils,e342e5fb,CR Brathwaite,fuzzy_string_matching
4,Karun Nair,"4,00,00,000",Batsman,Delhi Daredevils,06907633,AR Nair,fuzzy_string_matching
5,Rishabh Pant,"1,90,00,000",Wicket Keeper,Delhi Daredevils,919a3be2,RR Pant,surname_initials_matching
6,Joel Paris,"30,00,000",Bowler,Delhi Daredevils,7c8f533d,JS Paris,surname_initials_matching
7,Sam Billings,"30,00,000",Wicket Keeper,Delhi Daredevils,c16d4035,SW Billings,fuzzy_string_matching
8,Chama Milind,"10,00,000",Bowler,Delhi Daredevils,7b5b6311,CV Milind,surname_initials_matching
9,Pratyush Singh,"10,00,000",All-Rounder,Delhi Daredevils,456af189,Pratyush Singh,exact_match
10,Mahipal Lomror,"10,00,000",All-Rounder,Delhi Daredevils,da934ee8,MK Lomror,surname_initials_matching
11,Syed Khaleel Ahmed,"10,00,000",All-Rounder,Delhi Daredevils,UNRESOLVED,Syed Khaleel Ahmed,unresolved
12,Akhil Arvind Herwadkar,"10,00,000",All-Rounder,Delhi Daredevils,4ed49d3d,AA Herwadkar,surname_initials_matching
13,Pawan Suyal,"10,00,000",Bowler,Delhi Daredevils,cedc1d9a,P Suyal,surname_initials_matching
14,Praveen Kumar,"3,50,00,000",Bowler,Gujarat Lions,babc65d3,Parveen Kumar,fuzzy_string_matching
15,Dale Steyn,"2,30,00,000",Bowler,Gujarat Lions,14baca9f,A Steyn,fuzzy_string_matching
16,Dinesh Karthik,"2,30,00,000",Wicket Keeper,Gujarat Lions,UNRESOLVED,Dinesh Karthik,unresolved
17,Dwayne Smith,"2,30,00,000",All-Rounder,Gujarat Lions,6e1a8b04,Verdayne Smith,fuzzy_string_matching
18,Dhawal Kulkarni,"2,00,00,000",Bowler,Gujarat Lions,2d140b79,AA Kulkarni,fuzzy_string_matching
19,Aaron Finch,"1,00,00,000",Batsman,Gujarat Lions,UNRESOLVED,Aaron Finch,unresolved
20,Eklavya Dwivedi,"1,00,00,000",Wicket Keeper,Gujarat Lions,b274dbbd,ER Dwivedi,surname_initials_matching
21,Andrew Tye,"50,00,000",All-Rounder,Gujarat Lions,7c7d63a2,AJ Tye,surname_initials_matching
22,Ishan Kishan,"35,00,000",Wicket Keeper,Gujarat Lions,752f7486,Ishan Kishan,exact_match
23,Jaydev Shah,"20,00,000",All-Rounder,Gujarat Lions,3c9b7d18,Jaydev Shah,exact_match
24,Shadab Jakati,"20,00,000",All-Rounder,Gujarat Lions,c8179c68,SB Jakati,surname_initials_matching
25,Pravin Tambe,"20,00,000",Bowler,Gujarat Lions,6aed7e79,PV Tambe,fuzzy_string_matching
26,Pradeep Sangwan,"20,00,000",All-Rounder,Gujarat Lions,9fc0ef64,PJ Sangwan,surname_initials_matching
27,Amit Mishra,"10,00,000",Bowler,Gujarat Lions,1d8388eb,Amit Mishra,fuzzy_string_matching
28,Shivil Kaushik,"10,00,000",Bowler,Gujarat Lions,1da489ff,S Kaushik,surname_initials_matching
29,Akshdeep Nath,"10,00,000",All-Rounder,Gujarat Lions,f10e94c4,AD Nath,surname_initials_matching
30,Sarabjit Ladda,"10,00,000",Bowler,Gujarat Lions,fb693839,S Ladda,surname_initials_matching
31,Umang Sharma,"10,00,000",Batsman,Gujarat Lions,6f0f39fb,Umang Sharma,exact_match
32,Paras Dogra,"10,00,000",Batsman,Gujarat Lions,2728e7e9,P Dogra,surname_initials_matching
33,Mohit Sharma,"6,50,00,000",Bowler,Kings XI Punjab,cd9f6505,Mohit Sharma,exact_match
34,Kyle Abbott,"2,10,00,000",Bowler,Kings XI Punjab,a9da7784,KJ Abbott,surname_initials_matching
35,K.C. Cariappa,"80,00,000",Bowler,Kings XI Punjab,edb3d4f8,KC Cariappa,fuzzy_string_matching
36,Marcus Stoinis,"55,00,000",All-Rounder,Kings XI Punjab,d9273ee7,MP Stoinis,surname_initials_matching
37,Farhaan Behardien,"30,00,000",All-Rounder,Kings XI Punjab,dce2019b,F Behardien,surname_initials_matching
38,Pardeep Sahu,"10,00,000",All-Rounder,Kings XI Punjab,9a0146b3,P Sahu,surname_initials_matching
39,Armaan Jaffer,"10,00,000",Batsman,Kings XI Punjab,a83208cd,Armaan Jaffer,exact_match
40,Swapnil Singh,"10,00,000",All-Rounder,Kings XI Punjab,983f2f61,Swapnil Singh,exact_match
41,Jaydev Unadkat,"1,60,00,000",Bowler,Kolkata Knight Riders,1e66c162,JD Unadkat,fuzzy_string_matching
42,Ankit Singh Rajpoot,"1,50,00,000",Bowler,Kolkata Knight Riders,db31895a,AS Rajpoot,surname_initials_matching
43,John Hastings,"1,30,00,000",Bowler,Kolkata Knight Riders,012829ff,JW Hastings,fuzzy_string_matching
