Unnamed: 0,Name,Nationality,Price in rs,Role,TeamName,Name_canonical_id,Name_canonical_name,Name_mapping_method
0,Ajinkya Rahane ,Indian ,"50,00,000 ",Batter , Chennai Super Kings,29e95537,AM Rahane,surname_initials_matching
1,Bhagath Varma ,Indian ,"20,00,000 ",All-Rounder , Chennai Super Kings,5438ffba,K Bhagath Varma,fuzzy_string_matching
2,Kyle Jamieson ,Overseas ,"1,00,00,000 ",Bowler , Chennai Super Kings,68c56d09,KA Jamieson,fuzzy_string_matching
3,Ajay Mandal ,Indian ,"20,00,000 ",All-Rounder , Chennai Super Kings,31ee319e,Ajay Mandal,exact_match
4,Nishant Sindhu ,Indian ,"60,00,000 ",All-Rounder , Chennai Super Kings,3cea23da,N Sindhu,surname_initials_matching
5,Shaik Rasheed ,Indian ,"20,00,000 ",Batter , Chennai Super Kings,cbf58a86,SK Rasheed,fuzzy_string_matching
6,Ben Stokes ,Overseas ,"16,25,00,000 ",All-Rounder , Chennai Super Kings,e087956b,BA Stokes,fuzzy_string_matching
7,Phil Salt ,Overseas ,"2,00,00,000 ",Wicket-Keeper , Delhi Capitals,3d284ca3,PD Salt,surname_initials_matching
8,Ishant Sharma ,Indian ,"50,00,000 ",Bowler , Delhi Capitals,ae85a996,Siddhant Sharma,fuzzy_string_matching
9,Rilee Rossouw ,Overseas ,"4,60,00,000 ",Batter , Delhi Capitals,cad00a4d,RR Rossouw,surname_initials_matching
10,Manish Pandey ,Indian ,"2,40,00,000 ",Batter , Delhi Capitals,93b4fc78,MK Pandey,surname_initials_matching
11,Mukesh Kumar ,Indian ,"5,50,00,000 ",Bowler , Delhi Capitals,2cffab74,Mukesh Kumar,exact_match
12,Shivam Mavi ,Indian ,"6,00,00,000 ",Bowler , Gujarat Titans,c38d3503,Shivam Mavi,exact_match
13,K.S. Bharat ,Indian ,"1,20,00,000 ",Wicket-Keeper , Gujarat Titans,44a89551,KS Bharat,fuzzy_string_matching
14,Urvil Patel ,Indian ,"20,00,000 ",Wicket-Keeper , Gujarat Titans,cf59b3f0,Urvil Patel,exact_match
15,Mohit Sharma ,Indian ,"50,00,000 ",Bowler , Gujarat Titans,cd9f6505,Mohit Sharma,exact_match
16,Joshua Little ,Overseas ,"4,40,00,000 ",Bowler , Gujarat Titans,9061a703,J Little,surname_initials_matching
17,Kane Williamson ,Overseas ,"2,00,00,000 ",Batter , Gujarat Titans,d027ba9f,KS Williamson,fuzzy_string_matching
18,Odean Smith ,Overseas ,"50,00,000 ",All-Rounder , Gujarat Titans,UNRESOLVED,Odean Smith,unresolved
19,Kulwant Khejroliya ,Indian ,"20,00,000 ",Bowler , Kolkata Knight Riders,fa2f1dde,K Khejroliya,fuzzy_string_matching
20,Shakib Al Hasan ,Overseas ,"1,50,00,000 ",All-Rounder , Kolkata Knight Riders,7dc35884,Shakib Al Hasan,exact_match
21,Vaibhav Arora ,Indian ,"60,00,000 ",Bowler , Kolkata Knight Riders,7c3b3b78,VG Arora,surname_initials_matching
22,N. Jagadeesan ,Indian ,"90,00,000 ",Wicket-Keeper , Kolkata Knight Riders,bd54eef5,N Jagadeesan,fuzzy_string_matching
