Unnamed: 0,Name,Price in rs,Role,TeamName,Name_canonical_id,Name_canonical_name,Name_mapping_method
0,Faf Du Plessis,"4,75,00,000",Batsman,Chennai Super Kings,3355b542,F du Plessis,fuzzy_string_matching
1,Dwayne Smith,"4,50,00,000",Batsman,Chennai Super Kings,6e1a8b04,Verdayne Smith,fuzzy_string_matching
2,Brendon McCullum,"3,25,00,000",Wicket Keeper,Chennai Super Kings,b8a55852,BB McCullum,surname_initials_matching
3,Ashish Nehra,"2,00,00,000",Bowler,Chennai Super Kings,96fd40ae,A Nehra,surname_initials_matching
4,Mohit Sharma,"2,00,00,000",Bowler,Chennai Super Kings,cd9f6505,Mohit Sharma,exact_match
5,Ishwar Chandra Pandey,"1,50,00,000",Bowler,Chennai Super Kings,UNRESOLVED,Ishwar Chandra Pandey,unresolved
6,Ben Hilfenhaus,"1,00,00,000",Bowler,Chennai Super Kings,f3171936,BW Hilfenhaus,fuzzy_string_matching
7,John Hastings,"50,00,000",All-Rounder,Chennai Super Kings,012829ff,JW Hastings,fuzzy_string_matching
8,Samuel Badree,"30,00,000",Bowler,Chennai Super Kings,76388dc8,S Badree,surname_initials_matching
9,Matt Henry,"30,00,000",Bowler,Chennai Super Kings,UNRESOLVED,Matt Henry,unresolved
10,Mithun Manhas,"30,00,000",All-Rounder,Chennai Super Kings,c42aaf71,M Manhas,surname_initials_matching
11,Vijay Shankar,"10,00,000",All-Rounder,Chennai Super Kings,0994d0ae,V Shankar,surname_initials_matching
12,Ronit More,"10,00,000",Bowler,Chennai Super Kings,b2b23612,RG More,surname_initials_matching
13,Baba Aparajith,"10,00,000",Batsman,Chennai Super Kings,5b627626,B Aparajith,fuzzy_string_matching
14,Pawan Negi,"10,00,000",Bowler,Chennai Super Kings,f62772e5,P Negi,surname_initials_matching
15,Dinesh Karthik,"12,50,00,000",Wicket Keeper,Delhi Daredevils,UNRESOLVED,Dinesh Karthik,unresolved
16,Kevin Pietersen,"9,00,00,000",Batsman,Delhi Daredevils,39f01cdb,KP Pietersen,surname_initials_matching
