Unnamed: 0,Name,Nationality,Price in rs,Role,TeamName,Name_canonical_id,Name_canonical_name,Name_mapping_method
0,Robin Uthappa ,Indian ,"2,00,00,000 ",Batsman , Chennai Super Kings,1c17e270,RV Uthappa,fuzzy_string_matching
1,Dwayne Bravo ,Overseas ,"4,40,00,000 ",All-Rounder , Chennai Super Kings,UNRESOLVED,Dwayne Bravo,unresolved
2,Ambati Rayudu ,Indian ,"6,75,00,000 ",Wicket Keeper , Chennai Super Kings,70d205c9,AT Rayudu,fuzzy_string_matching
3,Deepak Chahar ,Indian ,"14,00,00,000 ",Bowler , Chennai Super Kings,23eeb873,DL Chahar,surname_initials_matching
4,C.Hari Nishaanth ,Indian ,"20,00,000 ",Batsman , Chennai Super Kings,c3f37533,Hari Nishaanth,fuzzy_string_matching
5,N. Jagadeesan ,Indian ,"20,00,000 ",Wicket Keeper , Chennai Super Kings,bd54eef5,N Jagadeesan,fuzzy_string_matching
6,K.M. Asif ,Indian ,"20,00,000 ",Bowler , Chennai Super Kings,798cc28e,KM Asif,fuzzy_string_matching
7,Tushar Deshpande ,Indian ,"20,00,000 ",Bowler , Chennai Super Kings,46a9bea1,TU Deshpande,fuzzy_string_matching
8,Shivam Dube ,Indian ,"4,00,00,000 ",All-Rounder , Chennai Super Kings,a4e37e47,S Dube,surname_initials_matching
9,Chris Jordan ,Overseas ,"3,60,00,000 ",All-Rounder , Chennai Super Kings,ffe699c0,CJ Jordan,surname_initials_matching
10,Maheesh Theekshana ,Overseas ,"70,00,000 ",Bowler , Chennai Super Kings,f24c6701,M Theekshana,surname_initials_matching
11,Rajvardhan Hangargekar ,Indian ,"1,50,00,000 ",All-Rounder , Chennai Super Kings,c3c92b42,RS Hangargekar,surname_initials_matching
12,Simarjeet Singh ,Indian ,"20,00,000 ",Bowler , Chennai Super Kings,30df8c66,Simarjeet Singh,exact_match
13,Devon Conway ,Overseas ,"1,00,00,000 ",Batsman , Chennai Super Kings,df5a6881,DP Conway,surname_initials_matching
14,Dwaine Pretorius ,Overseas ,"50,00,000 ",All-Rounder , Chennai Super Kings,UNRESOLVED,Dwaine Pretorius,unresolved
15,Mitchell Santner ,Overseas ,"1,90,00,000 ",All-Rounder , Chennai Super Kings,e4a0deae,MJ Santner,surname_initials_matching
16,Adam Milne ,Overseas ,"1,90,00,000 ",Bowler , Chennai Super Kings,eaa918a8,D Milne,fuzzy_string_matching
17,Subhranshu Senapati ,Indian ,"20,00,000 ",Batsman , Chennai Super Kings,0edcb652,Subhransu Senapati,fuzzy_string_matching
18,Mukesh Choudhary ,Indian ,"20,00,000 ",Bowler , Chennai Super Kings,765a4731,Mukesh Choudhary,exact_match
19,Prashant Solanki ,Indian ,"1,20,00,000 ",Bowler , Chennai Super Kings,UNRESOLVED,Prashant Solanki,unresolved
20,K.Bhagath Varma ,Indian ,"20,00,000 ",All-Rounder , Chennai Super Kings,5438ffba,K Bhagath Varma,fuzzy_string_matching
21,David Warner ,Overseas ,"6,25,00,000 ",Batsman , Delhi Capitals,dcce6f09,DA Warner,fuzzy_string_matching
22,Mitchell Marsh ,Overseas ,"6,50,00,000 ",All-Rounder , Delhi Capitals,3d8feaf8,MR Marsh,surname_initials_matching
23,Mustafizur Rahman ,Overseas ,"2,00,00,000 ",Bowler , Delhi Capitals,0a8fce53,Mustafizur Rahman,exact_match
24,Shardul Thakur ,Indian ,"10,75,00,000 ",Bowler , Delhi Capitals,UNRESOLVED,Shardul Thakur,unresolved
25,Kuldeep Yadav ,Indian ,"2,00,00,000 ",Bowler , Delhi Capitals,8d2c70ad,Kuldeep Yadav,exact_match
26,Ashwin Hebbar ,Indian ,"20,00,000 ",Batsman , Delhi Capitals,b11d8647,Ashwin Hebbar,exact_match
