Unnamed: 0,Name,Nationality,BasePrices in Rs,Winning Bid in Rs,TeamName,Capped/UnCapped,Name_canonical_id,Name_canonical_name,Name_mapping_method
0,Noor Ahmad  ,Overseas,"2,00,00,000 ","10,00,00,000 ", Chennai Super Kings,Capped,efc04be7,Noor Ahmad,exact_match
1,Ravichandaran Ashwin,Indian,"2,00,00,000 ","9,75,00,000 ", Chennai Super Kings,Capped,495d42a5,R Ashwin,surname_initials_matching
2,Devon Conway  ,Overseas,"2,00,00,000 ","6,25,00,000 ", Chennai Super Kings,Capped,df5a6881,DP Conway,surname_initials_matching
3,Syed Khaleel Ahmed,Indian,"2,00,00,000 ","4,80,00,000 ", Chennai Super Kings,Capped,UNRESOLVED,Syed Khaleel Ahmed,unresolved
4,Rachin Ravindra  ,Overseas,"1,50,00,000 ","4,00,00,000 ", Chennai Super Kings,Capped,ba5e1069,R Ravindra,surname_initials_matching
5,Anshul Kamboj,Indian,"30,00,000 ","3,40,00,000 ", Chennai Super Kings,Uncapped,fcc21ace,A Kamboj,surname_initials_matching
6,Rahul Tripathi,Indian,"75,00,000 ","3,40,00,000 ", Chennai Super Kings,Capped,65ff7036,Anshul Tripathi,fuzzy_string_matching
7,Sam Curran  ,Overseas,"2,00,00,000 ","2,40,00,000 ", Chennai Super Kings,Capped,e94915e6,SM Curran,fuzzy_string_matching
8,Gurjapneet Singh,Indian,"30,00,000 ","2,20,00,000 ", Chennai Super Kings,Uncapped,cc61ee8f,Gurjapneet Singh,exact_match
9,Nathan Ellis  ,Overseas,"1,25,00,000 ","2,00,00,000 ", Chennai Super Kings,Capped,9eb1455b,NT Ellis,surname_initials_matching
10,Deepak Hooda,Indian,"75,00,000 ","1,70,00,000 ", Chennai Super Kings,Capped,73ad96ed,DJ Hooda,surname_initials_matching
11,Jamie Overton  ,Overseas,"1,50,00,000 ","1,50,00,000 ", Chennai Super Kings,Capped,59559bc2,J Overton,surname_initials_matching
12,Vijay Shankar,Indian,"30,00,000 ","1,20,00,000 ", Chennai Super Kings,Uncapped,0994d0ae,V Shankar,surname_initials_matching
13,Vansh Bedi,Indian,"30,00,000 ","55,00,000 ", Chennai Super Kings,Uncapped,51e68a46,AS Bedi,fuzzy_string_matching
14,Andre Siddarth,Indian,"30,00,000 ","30,00,000 ", Chennai Super Kings,Uncapped,UNRESOLVED,Andre Siddarth,unresolved
15,Shreyas Gopal,Indian,"30,00,000 ","30,00,000 ", Chennai Super Kings,Uncapped,7a8bd078,S Gopal,surname_initials_matching
16,Ramakrishna Ghosh,Indian,"30,00,000 ","30,00,000 ", Chennai Super Kings,Uncapped,UNRESOLVED,Ramakrishna Ghosh,unresolved
17,Kamlesh Nagarkoti,Indian,"30,00,000 ","30,00,000 ", Chennai Super Kings,Uncapped,b4f5c2d9,KL Nagarkoti,fuzzy_string_matching
18,Mukesh Choudhary,Indian,"30,00,000 ","30,00,000 ", Chennai Super Kings,Uncapped,765a4731,Mukesh Choudhary,exact_match
19,Shaik Rasheed,Indian,"30,00,000 ","30,00,000 ", Chennai Super Kings,Uncapped,cbf58a86,SK Rasheed,fuzzy_string_matching
20,KL Rahul,Indian,"2,00,00,000 ","14,00,00,000 ", Delhi Capitals,Capped,b17e2f24,KL Rahul,exact_match
21,Mitchell Starc  ,Overseas,"2,00,00,000 ","11,75,00,000 ", Delhi Capitals,Capped,3fb19989,MA Starc,surname_initials_matching
22,T. Natarajan,Indian,"2,00,00,000 ","10,75,00,000 ", Delhi Capitals,Capped,ce794613,T Natarajan,fuzzy_string_matching
23,Jake Fraser-Mcgurk  ,Overseas,"2,00,00,000 ","9,00,00,000 ", Delhi Capitals,Capped,9b6e1b3f,J Fraser-McGurk,fuzzy_string_matching
24,Mukesh Kumar,Overseas,"2,00,00,000 ","8,00,00,000 ", Delhi Capitals,Capped,2cffab74,Mukesh Kumar,exact_match
25,Harry Brook  ,Overseas,"2,00,00,000 ","6,25,00,000 ", Delhi Capitals,Capped,4ae1755b,HC Brook,surname_initials_matching
26,Ashutosh Sharma,Indian,"30,00,000 ","3,80,00,000 ", Delhi Capitals,Uncapped,84d9c311,Ashutosh Sharma,exact_match
27,Mohit Sharma,Indian,"50,00,000 ","2,20,00,000 ", Delhi Capitals,Uncapped,cd9f6505,Mohit Sharma,exact_match
28,Faf Du Plessis  ,Overseas,"2,00,00,000 ","2,00,00,000 ", Delhi Capitals,Capped,3355b542,F du Plessis,fuzzy_string_matching
29,Sameer Rizvi,Indian,"30,00,000 ","95,00,000 ", Delhi Capitals,Uncapped,f89d3b11,Sameer Rizvi,exact_match
30,Donovan Ferreira  ,Overseas,"75,00,000 ","75,00,000 ", Delhi Capitals,Capped,f0af99a7,D Ferreira,surname_initials_matching
31,Dushmantha Chameera  ,Overseas,"75,00,000 ","75,00,000 ", Delhi Capitals,Capped,UNRESOLVED,Dushmantha Chameera,unresolved
32,Vipraj Nigam,Indian,"30,00,000 ","50,00,000 ", Delhi Capitals,Uncapped,5ffc0565,V Nigam,surname_initials_matching
33,Karun Nair,Indian,"30,00,000 ","50,00,000 ", Delhi Capitals,Uncapped,06907633,AR Nair,fuzzy_string_matching
34,Madhav Tiwari,Indian,"30,00,000 ","40,00,000 ", Delhi Capitals,Uncapped,fb5f69e4,M Tiwari,surname_initials_matching
35,Tripurana Vijay,Indian,"30,00,000 ","30,00,000 ", Delhi Capitals,Uncapped,51ec3919,T Vijay,surname_initials_matching
36,Manvanth Kumar L,Indian,"30,00,000 ","30,00,000 ", Delhi Capitals,Uncapped,UNRESOLVED,Manvanth Kumar L,unresolved
