competition,season,player_name,matches,teams,first_match_date,last_match_date,player_name_canonical_id,player_name_canonical_name,player_name_mapping_method
Big Bash League,2011/12,AB McDonald,6,1,2011-12-18,2012-01-18,16043342,AB McDonald,exact_match
Big Bash League,2011/12,AC Blizzard,5,1,2011-12-18,2012-01-19,1efb8a28,AC Blizzard,exact_match
Big Bash League,2011/12,AC McDermott,5,1,2011-12-16,2012-01-17,956887b2,AC McDermott,exact_match
Big Bash League,2011/12,AC Thomas,6,1,2011-12-18,2012-01-19,b552a935,AC Thomas,exact_match
Big Bash League,2011/12,AC Voges,6,1,2011-12-17,2012-01-21,864c199e,AC Voges,exact_match
Big Bash League,2011/12,AJ Crosthwaite,6,1,2011-12-18,2012-01-19,0c8836b6,AJ Crosthwaite,exact_match
Big Bash League,2011/12,AJ Finch,6,1,2011-12-18,2012-01-18,b8d490fd,AJ Finch,exact_match
Big Bash League,2011/12,AK Heal,4,1,2011-12-18,2012-01-18,78ba5d1b,AK Heal,exact_match
Big Bash League,2011/12,AW O'Brien,6,1,2011-12-18,2012-01-19,d29be810,AW O'Brien,exact_match
Big Bash League,2011/12,AW Robinson,5,1,2011-12-16,2012-01-17,7001dee4,AW Robinson,exact_match
Big Bash League,2011/12,Abdul Razzaq,5,1,2011-12-18,2012-01-12,390ff45b,Abdul Razzaq,exact_match
Big Bash League,2011/12,B Laughlin,7,1,2011-12-18,2012-01-22,b2a79f17,B Laughlin,exact_match
Big Bash League,2011/12,B Lee,9,1,2011-12-16,2012-01-28,dd09ff8e,B Lee,exact_match
Big Bash League,2011/12,BB McCullum,3,1,2011-12-16,2012-01-17,b8a55852,BB McCullum,exact_match
Big Bash League,2011/12,BE McGain,3,1,2011-12-23,2012-01-19,6d62117a,BE McGain,exact_match
Big Bash League,2011/12,BG Drew,2,1,2012-01-08,2012-01-10,751f4b9b,BG Drew,exact_match
Big Bash League,2011/12,BG McDonald,1,1,2012-01-18,2012-01-18,0a3049c5,BG McDonald,exact_match
Big Bash League,2011/12,BJ Haddin,2,1,2011-12-16,2012-01-18,b0c772ee,BJ Haddin,exact_match
Big Bash League,2011/12,BJ Hodge,4,1,2011-12-30,2012-01-18,b57f8a9a,BJ Hodge,exact_match
Big Bash League,2011/12,BJ Rohrer,7,1,2011-12-27,2012-01-28,27af6414,BJ Rohrer,exact_match
Big Bash League,2011/12,BM Edmondson,8,1,2011-12-18,2012-01-28,b0b320a0,BM Edmondson,exact_match
Big Bash League,2011/12,BR Dunk,6,1,2011-12-17,2012-01-17,272d796e,BR Dunk,exact_match
Big Bash League,2011/12,BW Hilfenhaus,2,1,2011-12-18,2011-12-21,f3171936,BW Hilfenhaus,exact_match
Big Bash League,2011/12,CA Lynn,5,1,2011-12-16,2012-01-17,45eda7c8,CA Lynn,exact_match
Big Bash League,2011/12,CA Philipson,2,1,2011-12-17,2011-12-23,32866fe7,CA Philipson,exact_match
Big Bash League,2011/12,CD Hartley,3,1,2011-12-16,2012-01-12,9a06679d,CD Hartley,exact_match
Big Bash League,2011/12,CH Gayle,6,1,2011-12-17,2012-01-17,db584dad,CH Gayle,exact_match
Big Bash League,2011/12,CJ Borgas,5,1,2011-12-18,2012-01-10,d901964b,CJ Borgas,exact_match
Big Bash League,2011/12,CJ Ferguson,5,1,2011-12-18,2012-01-19,9b4935c8,CJ Ferguson,exact_match
Big Bash League,2011/12,CJ McKay,7,1,2011-12-17,2012-01-21,94eac556,CJ McKay,exact_match
Big Bash League,2011/12,CL White,7,1,2011-12-17,2012-01-21,d0513f63,CL White,exact_match
Big Bash League,2011/12,CP Simpson,2,1,2011-12-27,2012-01-09,a5c2ef8c,CP Simpson,exact_match
Big Bash League,2011/12,CR Swan,1,1,2012-01-17,2012-01-17,2a236847,CR Swan,exact_match
Big Bash League,2011/12,DA Warner,1,1,2011-12-17,2011-12-17,dcce6f09,DA Warner,exact_match
Big Bash League,2011/12,DE Bollinger,2,1,2011-12-17,2011-12-23,45c2196c,DE Bollinger,exact_match
Big Bash League,2011/12,DJ Bravo,4,1,2011-12-16,2012-01-02,87e562a9,DJ Bravo,exact_match
Big Bash League,2011/12,DJ Harris,5,1,2011-12-18,2012-01-19,39f82db3,DJ Harris,exact_match
Big Bash League,2011/12,DJ Hussey,7,1,2011-12-17,2012-01-21,fd835ab3,DJ Hussey,exact_match
Big Bash League,2011/12,DJ Thornely,8,1,2011-12-21,2012-01-28,7d3937ed,DJ Thornely,exact_match
Big Bash League,2011/12,DL Vettori,2,1,2012-01-12,2012-01-17,d7c6af50,DL Vettori,exact_match
Big Bash League,2011/12,DLR Smith,6,1,2011-12-17,2012-01-17,0c5c3a87,DLR Smith,exact_match
Big Bash League,2011/12,DP Nannes,5,1,2011-12-18,2012-01-18,c404f58a,DP Nannes,exact_match
Big Bash League,2011/12,DR Salpietro,2,1,2012-01-08,2012-01-10,a6ae5f7f,DR Salpietro,exact_match
Big Bash League,2011/12,DT Christian,5,1,2011-12-16,2012-01-17,2a2e6343,DT Christian,exact_match
Big Bash League,2011/12,EJM Cowan,1,1,2011-12-16,2011-12-16,fee3c48a,EJM Cowan,exact_match
Big Bash League,2011/12,FH Edwards,5,1,2011-12-17,2012-01-08,a7c226e1,FH Edwards,exact_match
Big Bash League,2011/12,GA Manou,6,1,2011-12-18,2012-01-18,f58839ad,GA Manou,exact_match
Big Bash League,2011/12,GB Hogg,8,1,2011-12-18,2012-01-28,f708a0bc,GB Hogg,exact_match
Big Bash League,2011/12,GJ Bailey,7,1,2011-12-17,2012-01-21,5056011d,GJ Bailey,exact_match
Big Bash League,2011/12,GJ Maxwell,5,1,2011-12-18,2012-01-12,b681e71e,GJ Maxwell,exact_match
Big Bash League,2011/12,HH Gibbs,7,1,2011-12-18,2012-01-28,e1d1b294,HH Gibbs,exact_match
Big Bash League,2011/12,IA Moran,3,1,2012-01-08,2012-01-28,5ce5204c,IA Moran,exact_match
Big Bash League,2011/12,J Botha,3,1,2011-12-18,2011-12-28,7c503806,J Botha,fuzzy_string_matching
Big Bash League,2011/12,JEC Franklin,1,1,2012-01-19,2012-01-19,cf73ad76,JEC Franklin,exact_match
Big Bash League,2011/12,JJ Krejza,6,1,2011-12-18,2012-01-22,047d9032,JJ Krejza,exact_match
Big Bash League,2011/12,JK Lalor,1,1,2012-01-18,2012-01-18,88209c84,JK Lalor,exact_match
Big Bash League,2011/12,JM Bird,4,1,2012-01-04,2012-01-21,bc773eeb,JM Bird,exact_match
