identifier,name,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2,name_canonical_id,name_canonical_name,name_mapping_method,unique_name_canonical_id,unique_name_canonical_name,unique_name_mapping_method
b4a23876,AAA Amsterdam,AAA Amsterdam,,,,,,,772407.0,,,,,,,,,,,,,UNRESOLVED,AAA Amsterdam,unresolved,UNRESOLVED,AAA Amsterdam,unresolved
482762af,AA Adeoye,AA Adeoye,,,,,,,380588.0,,,,,,,,,,,,,UNRESOLVED,AA Adeoye,unresolved,UNRESOLVED,AA Adeoye,unresolved
4b0e3049,AA Alleyne,AA Alleyne,,,,,,,661441.0,,,,1512811.0,,,,,,,18542.0,,UNRESOLVED,AA Alleyne,unresolved,UNRESOLVED,AA Alleyne,unresolved
fd3c5c00,AAA Patel,AAA Patel,,,,,,,1163136.0,,,,,,,,,,,,,UNRESOLVED,AAA Patel,unresolved,UNRESOLVED,AAA Patel,unresolved
bc005f0d,AAA White,AAA White,,,,,,,474307.0,,,,,,,,,,,,,UNRESOLVED,AAA White,unresolved,UNRESOLVED,AAA White,unresolved
5c67c7a6,AA Baig,AA Baig,,,,,,,524897.0,,,,,,,,,,,,,UNRESOLVED,AA Baig,unresolved,UNRESOLVED,AA Baig,unresolved
95d3f620,AA Balogun,AA Balogun,,,,,,,,,,,,,,,,,,,,UNRESOLVED,AA Balogun,unresolved,UNRESOLVED,AA Balogun,unresolved
6a58e069,AA Bamal,AA Bamal,i0X1KhUIJLIzQOiJAiebGCiVyJJeiOc,,,,,,1123075.0,,,,,,,,,,,,,6a58e069,AA Bamal,exact_match,6a58e069,AA Bamal,exact_match
02d11602,AA Banner,AA Banner,,,,,,,590021.0,,,,,,,,,,,,,UNRESOLVED,AA Banner,unresolved,UNRESOLVED,AA Banner,unresolved
b690f34a,AA Barot,AA Barot,KVGiiAJbJeyiJCIeiXLzJ1OcO0UihIQ,,,,,,398519.0,,,,,,,,,,,,,b690f34a,AA Barot,exact_match,b690f34a,AA Barot,exact_match
c7a9ffbf,AA Bevilaqua,AA Bevilaqua,,,,,,,959617.0,,,,,,,,,,,,,UNRESOLVED,AA Bevilaqua,unresolved,UNRESOLVED,AA Bevilaqua,unresolved
