competition,season,match_id,player_name,team,match_date,venue,city,player_name_canonical_id,player_name_canonical_name,player_name_mapping_method
Indian Premier League,2017,1082591,CH Gayle,Royal Challengers Bangalore,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,db584dad,CH Gayle,exact_match
Indian Premier League,2017,1082591,Mandeep Singh,Royal Challengers Bangalore,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,c3a96caf,Mandeep Singh,fuzzy_string_matching
Indian Premier League,2017,1082591,TM Head,Royal Challengers Bangalore,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,12b610c2,TM Head,exact_match
Indian Premier League,2017,1082591,KM Jadhav,Royal Challengers Bangalore,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,99d63244,KM Jadhav,exact_match
Indian Premier League,2017,1082591,SR Watson,Royal Challengers Bangalore,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,4329fbb5,SR Watson,exact_match
Indian Premier League,2017,1082591,Sachin Baby,Royal Challengers Bangalore,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,dc9dd038,Sachin Baby,exact_match
Indian Premier League,2017,1082591,STR Binny,Royal Challengers Bangalore,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,bd17b45f,STR Binny,exact_match
Indian Premier League,2017,1082591,S Aravind,Royal Challengers Bangalore,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,957532de,S Aravind,exact_match
Indian Premier League,2017,1082591,TS Mills,Royal Challengers Bangalore,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,245c97cb,TS Mills,exact_match
Indian Premier League,2017,1082591,YS Chahal,Royal Challengers Bangalore,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,57ee1fde,YS Chahal,exact_match
