scope,player_id,player_name,qualified,last_active_season,is_recently_active,innings,dismissals,not_outs,runs,balls_faced,batting_average,mean_score,median_score,median_lt_mean,p10,p25,p50,p75,p90,skewness,duck_count,duck_rate,duck_rate_of_dismissals,rate_20_naive,rate_20_complete_case,rate_20_km,rate_30_naive,rate_30_complete_case,rate_30_km,rate_50_naive,rate_50_complete_case,rate_50_km,conv_20_to_30,conv_30_to_50
all_t20_2018_2026,b17e2f24,KL Rahul,True,2026,True,128,108,20,5403.0,3803,50.02777777777778,42.2109375,35.5,True,4.700000000000001,15.0,35.5,68.0,86.09999999999998,0.6931864374538389,5,0.0390625,0.046296296296296294,0.6875,0.6929133858267716,0.693135245901639,0.546875,0.5511811023622047,0.5513575819672126,0.390625,0.3937007874015748,0.3938268442622947,0.7954545454545454,0.7142857142857143
all_t20_2018_2026,d5130a30,B Sai Sudharsan,True,2026,True,66,58,8,2733.0,1877,47.12068965517241,41.40909090909091,38.0,True,9.5,15.0,38.0,57.75,83.0,0.5205667555326731,1,0.015151515151515152,0.017241379310344827,0.7121212121212122,0.7230769230769231,0.7269570707070707,0.6363636363636364,0.6461538461538462,0.6496212121212122,0.36363636363636365,0.375,0.38098086124401914,0.8936170212765957,0.5853658536585366
all_t20_2018_2026,33609a8c,Saim Ayub,True,2026,True,16,13,3,605.0,415,46.53846153846154,37.8125,27.5,True,11.5,19.0,27.5,53.5,73.5,0.8581491924458157,0,0.0,0.0,0.75,0.75,0.75,0.5,0.5714285714285714,0.625,0.3125,0.35714285714285715,0.39062500000000006,0.8,0.625
all_t20_2018_2026,201fef33,DB Sharma,True,2026,True,16,8,8,358.0,288,44.75,22.375,25.5,False,2.0,9.75,25.5,34.75,41.5,-0.03783065748287649,1,0.0625,0.125,0.5625,0.6428571428571429,0.6818181818181818,0.375,0.46153846153846156,0.5303030303030303,0.0,0.0,0.26515151515151514,0.75,0.0
all_t20_2018_2026,470f446b,V Suryavanshi,True,2026,True,23,23,0,1028.0,449,44.69565217391305,44.69565217391305,40.0,True,4.0,12.0,40.0,67.5,96.8,0.37311653967605113,2,0.08695652173913043,0.08695652173913043,0.6956521739130435,0.6956521739130435,0.6956521739130436,0.6956521739130435,0.6956521739130435,0.6956521739130436,0.34782608695652173,0.34782608695652173,0.3478260869565219,1.0,0.5
all_t20_2018_2026,ba607b88,V Kohli,True,2026,True,134,113,21,4918.0,3523,43.52212389380531,36.701492537313435,31.5,True,4.0,12.0,31.5,54.75,74.4,0.6072730123539661,6,0.04477611940298507,0.05309734513274336,0.664179104477612,0.6691729323308271,0.6715588723051411,0.5373134328358209,0.5454545454545454,0.5500746268656717,0.3208955223880597,0.3333333333333333,0.34758905471478296,0.8181818181818182,0.6231884057971014
all_t20_2018_2026,99b75528,JC Buttler,True,2026,True,182,158,24,6610.0,4472,41.835443037974684,36.31868131868132,29.0,True,5.0,12.25,29.0,54.75,78.60000000000002,0.8168400013967013,8,0.04395604395604396,0.05063291139240506,0.6593406593406593,0.6629834254143646,0.6639194139194142,0.489010989010989,0.5,0.5076263756819317,0.3131868131868132,0.32571428571428573,0.3396682016542707,0.7606837606837606,0.6627906976744186
all_t20_2018_2026,65d9b6b6,A Sutherland,True,2026,True,32,20,12,821.0,593,41.05,25.65625,25.5,True,5.5,17.0,25.5,30.25,43.30000000000001,0.6473802889461713,2,0.0625,0.1,0.6875,0.7333333333333333,0.75,0.34375,0.4074074074074074,0.46534090909090925,0.09375,0.13043478260869565,0.22662706611570255,0.5789473684210527,0.42857142857142855
all_t20_2018_2026,b4b99816,Shubman Gill,True,2026,True,148,129,19,5233.0,3691,40.565891472868216,35.358108108108105,31.0,True,3.700000000000001,9.0,31.0,56.0,84.0,0.8795695219325359,4,0.02702702702702703,0.031007751937984496,0.581081081081081,0.6056338028169014,0.6149602363740537,0.5202702702702703,0.5460992907801419,0.5574015119818797,0.27702702702702703,0.29285714285714287,0.30325034262819944,0.9058823529411765,0.5394736842105263
all_t20_2018_2026,e66732f8,RD Rickelton,True,2026,True,78,70,8,2801.0,1719,40.01428571428571,35.91025641025641,26.0,True,4.7,9.25,26.0,57.0,89.3,0.9695868923191305,3,0.038461538461538464,0.04285714285714286,0.5769230769230769,0.5769230769230769,0.576923076923077,0.46153846153846156,0.46153846153846156,0.46153846153846145,0.2692307692307692,0.2692307692307692,0.26923076923076916,0.8,0.5833333333333334
all_t20_2018_2026,30a45b23,SPD Smith,True,2026,True,87,72,15,2838.0,2018,39.416666666666664,32.62068965517241,26.0,True,3.0,8.5,26.0,48.5,66.0,1.198225787040757,2,0.022988505747126436,0.027777777777777776,0.6091954022988506,0.6162790697674418,0.6206896551724138,0.4367816091954023,0.4523809523809524,0.46621433218700614,0.25287356321839083,0.28205128205128205,0.335067263480138,0.7450980392156863,0.6875
all_t20_2018_2026,4a8a2e3b,MS Dhoni,True,2025,True,98,48,50,1878.0,1353,39.125,19.163265306122447,16.0,True,1.0,5.0,16.0,26.75,38.79999999999998,1.5248920777620123,3,0.030612244897959183,0.0625,0.3877551020408163,0.5,0.5509190213311664,0.20408163265306123,0.29850746268656714,0.4057678893216973,0.07142857142857142,0.12962962962962962,0.4057678893216973,0.6896551724137931,1.0
all_t20_2018_2026,85ec8e33,SS Iyer,True,2026,True,136,110,26,4266.0,3041,38.78181818181818,31.36764705882353,25.0,True,4.0,10.0,25.0,46.25,68.0,1.2423166482292383,2,0.014705882352941176,0.01818181818181818,0.5441176470588235,0.5481481481481482,0.5490196078431373,0.4338235294117647,0.45038167938931295,0.4646478414623989,0.23529411764705882,0.256,0.28607295661124116,0.8428571428571429,0.6037735849056604
all_t20_2018_2026,df5a6881,DP Conway,True,2025,True,74,63,11,2424.0,1824,38.476190476190474,32.75675675675676,27.0,True,1.6000000000000014,12.25,27.0,51.0,72.50000000000001,0.5988366146217656,7,0.0945945945945946,0.1111111111111111,0.6216216216216216,0.6216216216216216,0.6216216216216217,0.5,0.5068493150684932,0.5135135135135136,0.28378378378378377,0.29577464788732394,0.31064021744357256,0.8222222222222222,0.6
all_t20_2018_2026,45a43fe2,RD Gaikwad,True,2026,True,114,101,13,3849.0,2824,38.10891089108911,33.76315789473684,28.0,True,1.0,7.25,28.0,53.75,74.7,0.6759989257534856,7,0.06140350877192982,0.06930693069306931,0.5701754385964912,0.5701754385964912,0.5701754385964914,0.4824561403508772,0.48672566371681414,0.49122807017543885,0.2807017543859649,0.2882882882882883,0.3003105850751282,0.859375,0.6037735849056604
all_t20_2018_2026,dcce6f09,DA Warner,True,2025,True,131,113,18,4284.0,3202,37.91150442477876,32.70229007633588,23.0,True,2.0,8.0,23.0,52.0,71.0,0.835931257287604,9,0.06870229007633588,0.07964601769911504,0.549618320610687,0.549618320610687,0.549618320610687,0.45038167938931295,0.45384615384615384,0.45710379400706397,0.2900763358778626,0.2992125984251969,0.31381942601080165,0.8309859154929577,0.6785714285714286
all_t20_2018_2026,63e3b6b3,M Kapp,True,2026,True,40,26,14,984.0,753,37.84615384615385,24.6,26.0,False,5.800000000000001,12.25,26.0,34.0,38.90000000000001,0.42166245398103624,1,0.025,0.038461538461538464,0.6,0.6486486486486487,0.6716666666666666,0.375,0.45454545454545453,0.5201766304347826,0.05,0.07142857142857142,0.1728586956521739,0.75,0.2
all_t20_2018_2026,17bcec2a,D Forrester,True,2026,True,12,6,6,227.0,142,37.833333333333336,18.916666666666668,10.5,True,5.2,7.75,10.5,17.25,42.00000000000001,2.012553096733001,0,0.0,0.0,0.25,0.375,0.48611111111111116,0.16666666666666666,0.25,0.3240740740740741,0.08333333333333333,0.14285714285714285,0.3240740740740741,0.6666666666666666,1.0
all_t20_2018_2026,647a48da,AJ Pienaar,True,2026,True,30,12,18,453.0,318,37.75,15.1,10.0,True,2.0,6.25,10.0,21.75,31.200000000000003,1.1375162394969969,0,0.0,0.0,0.26666666666666666,0.4444444444444444,0.5599020544672719,0.16666666666666666,0.3125,0.46658504538939327,0.03333333333333333,0.08333333333333333,0.46658504538939327,0.8333333333333334,1.0
all_t20_2018_2026,271f83cd,SA Yadav,True,2026,True,148,128,20,4791.0,3159,37.4296875,32.37162162162162,28.0,True,1.700000000000001,10.75,28.0,51.0,68.0,0.6484393194322509,13,0.08783783783783784,0.1015625,0.6351351351351351,0.6394557823129252,0.6411269760326364,0.47297297297297297,0.48951048951048953,0.5007168312923588,0.25675675675675674,0.2753623188405797,0.30323492201192753,0.7777777777777778,0.5846153846153846
all_t20_2018_2026,0494fa6e,Vishnu Vinod,True,2026,True,26,18,8,672.0,490,37.333333333333336,25.846153846153847,17.5,True,5.5,12.0,17.5,33.0,63.5,1.0519672113132141,0,0.0,0.0,0.46153846153846156,0.5454545454545454,0.5729895104895104,0.3076923076923077,0.36363636363636365,0.38199300699300687,0.19230769230769232,0.22727272727272727,0.23874562937062935,0.6666666666666666,0.625
