scope,player_id,player_name,qualified,last_active_season,is_recently_active,innings,dismissals,not_outs,runs,balls_faced,batting_average,mean_score,median_score,median_lt_mean,p10,p25,p50,p75,p90,skewness,duck_count,duck_rate,duck_rate_of_dismissals,rate_20_naive,rate_20_complete_case,rate_20_km,rate_30_naive,rate_30_complete_case,rate_30_km,rate_50_naive,rate_50_complete_case,rate_50_km,conv_20_to_30,conv_30_to_50
ipl_2018_2026,b17e2f24,KL Rahul,True,2026,True,120,102,18,5090.0,3602,49.90196078431372,42.416666666666664,36.0,True,5.0,15.0,36.0,68.0,91.0,0.7183918203233861,4,0.03333333333333333,0.0392156862745098,0.6833333333333333,0.6890756302521008,0.6892753623188405,0.5416666666666666,0.5462184873949579,0.5463768115942028,0.39166666666666666,0.3949579831932773,0.3950724637681158,0.7926829268292683,0.7230769230769231
ipl_2018_2026,d5130a30,B Sai Sudharsan,True,2026,True,57,52,5,2515.0,1686,48.36538461538461,44.12280701754386,43.0,True,11.600000000000001,20.0,43.0,62.0,84.0,0.4161174038700492,1,0.017543859649122806,0.019230769230769232,0.7543859649122807,0.7543859649122807,0.7543859649122805,0.6666666666666666,0.6666666666666666,0.6666666666666664,0.40350877192982454,0.40350877192982454,0.4035087719298245,0.8837209302325582,0.6052631578947368
ipl_2018_2026,470f446b,V Suryavanshi,True,2026,True,23,23,0,1028.0,449,44.69565217391305,44.69565217391305,40.0,True,4.0,12.0,40.0,67.5,96.8,0.37311653967605113,2,0.08695652173913043,0.08695652173913043,0.6956521739130435,0.6956521739130435,0.6956521739130436,0.6956521739130435,0.6956521739130435,0.6956521739130436,0.34782608695652173,0.34782608695652173,0.3478260869565219,1.0,0.5
ipl_2018_2026,fe366f34,C Connolly,True,2026,True,13,11,2,491.0,301,44.63636363636363,37.76923076923077,30.0,True,12.200000000000001,17.0,30.0,38.0,84.00000000000001,1.0453614067615522,1,0.07692307692307693,0.09090909090909091,0.6153846153846154,0.6153846153846154,0.6153846153846153,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.875,0.42857142857142855
ipl_2018_2026,ba607b88,V Kohli,True,2026,True,134,113,21,4918.0,3523,43.52212389380531,36.701492537313435,31.5,True,4.0,12.0,31.5,54.75,74.4,0.6072730123539661,6,0.04477611940298507,0.05309734513274336,0.664179104477612,0.6691729323308271,0.6715588723051411,0.5373134328358209,0.5454545454545454,0.5500746268656717,0.3208955223880597,0.3333333333333333,0.34758905471478296,0.8181818181818182,0.6231884057971014
ipl_2018_2026,df5a6881,DP Conway,True,2025,True,28,25,3,1080.0,773,43.2,38.57142857142857,42.0,False,0.7000000000000002,9.5,42.0,59.25,85.6,0.26885603881233117,3,0.10714285714285714,0.12,0.5714285714285714,0.5714285714285714,0.5714285714285716,0.5714285714285714,0.5714285714285714,0.5714285714285716,0.39285714285714285,0.39285714285714285,0.39285714285714307,1.0,0.6875
ipl_2018_2026,99b75528,JC Buttler,True,2026,True,112,96,16,4119.0,2742,42.90625,36.776785714285715,26.5,True,5.0,11.0,26.5,54.0,89.0,0.9203903821340607,7,0.0625,0.07291666666666667,0.6517857142857143,0.6576576576576577,0.6593646179401992,0.4732142857142857,0.48623853211009177,0.4939367842413019,0.30357142857142855,0.3177570093457944,0.3344951955247949,0.7464788732394366,0.6666666666666666
ipl_2018_2026,235c2bb6,H Klaasen,True,2026,True,60,50,10,2104.0,1262,42.08,35.06666666666667,32.0,True,7.0,17.75,32.0,47.75,65.2,0.8964819865099775,1,0.016666666666666666,0.02,0.7,0.7368421052631579,0.746604148905939,0.55,0.5892857142857143,0.6012829842081757,0.25,0.2777777777777778,0.3016077411604372,0.8048780487804879,0.4838709677419355
ipl_2018_2026,b4b99816,Shubman Gill,True,2026,True,130,114,16,4598.0,3236,40.333333333333336,35.36923076923077,31.0,True,3.9000000000000004,9.0,31.0,56.0,84.0,0.8234555010770718,4,0.03076923076923077,0.03508771929824561,0.5769230769230769,0.6048387096774194,0.6153427221611403,0.5230769230769231,0.5483870967741935,0.5579107347594339,0.2846153846153846,0.3008130081300813,0.3109732000775322,0.9066666666666666,0.5522388059701493
ipl_2018_2026,85b3fab2,T Stubbs,True,2026,True,43,25,18,980.0,648,39.2,22.790697674418606,20.0,True,1.2000000000000002,4.0,20.0,38.0,52.800000000000026,0.5948868006645937,2,0.046511627906976744,0.08,0.5116279069767442,0.5789473684210527,0.6139887244538409,0.37209302325581395,0.47058823529411764,0.5516048433596004,0.11627906976744186,0.17857142857142858,0.3651828361130688,0.8888888888888888,0.5
