scope,player_id,player_name,qualified,last_active_season,is_recently_active,innings,dismissals,not_outs,runs,balls_faced,batting_average,mean_score,median_score,median_lt_mean,p10,p25,p50,p75,p90,skewness,duck_count,duck_rate,duck_rate_of_dismissals,rate_20_naive,rate_20_complete_case,rate_20_km,rate_30_naive,rate_30_complete_case,rate_30_km,rate_50_naive,rate_50_complete_case,rate_50_km,conv_20_to_30,conv_30_to_50
all_t20_2018_2026,3241e3fd,N Pooran,True,2026,True,301,241,60,8535.0,5572,35.4149377593361,28.35548172757475,20.0,True,1.0,8.0,20.0,44.0,62.0,1.0904328909288055,21,0.06976744186046512,0.08713692946058091,0.5049833887043189,0.5277777777777778,0.5376838161409163,0.40863787375415284,0.43309859154929575,0.44814063687962463,0.19933554817275748,0.22140221402214022,0.2538935371815126,0.831081081081081,0.5454545454545454
all_t20_2018_2026,3355b542,F du Plessis,True,2026,True,219,202,17,7156.0,4919,35.42574257425743,32.67579908675799,25.0,True,2.0,8.0,25.0,52.5,73.0,0.8818671564404436,13,0.0593607305936073,0.06435643564356436,0.5570776255707762,0.5570776255707762,0.5570776255707762,0.4429223744292237,0.44495412844036697,0.4471008873955371,0.2785388127853881,0.2837209302325581,0.29303780839077703,0.8016528925619835,0.648936170212766
all_t20_2018_2026,99b75528,JC Buttler,True,2026,True,182,158,24,6610.0,4472,41.835443037974684,36.31868131868132,29.0,True,5.0,12.25,29.0,54.75,78.60000000000002,0.8168400013967013,8,0.04395604395604396,0.05063291139240506,0.6593406593406593,0.6629834254143646,0.6639194139194142,0.489010989010989,0.5,0.5076263756819317,0.3131868131868132,0.32571428571428573,0.3396682016542707,0.7606837606837606,0.6627906976744186
all_t20_2018_2026,372455c4,Q de Kock,True,2026,True,224,206,18,6318.0,4560,30.66990291262136,28.205357142857142,20.0,True,1.0,7.0,20.0,44.25,68.40000000000003,1.2021882377757864,17,0.07589285714285714,0.0825242718446602,0.5133928571428571,0.515695067264574,0.5173420329670331,0.34375,0.3452914798206278,0.34639423076923087,0.22767857142857142,0.23076923076923078,0.2382541737109045,0.6695652173913044,0.68
all_t20_2018_2026,d9273ee7,MP Stoinis,True,2026,True,248,195,53,5826.0,4199,29.876923076923077,23.491935483870968,16.0,True,1.0,6.0,16.0,35.25,55.0,1.611445614071727,18,0.07258064516129033,0.09230769230769231,0.4475806451612903,0.4826086956521739,0.5009727241187317,0.31451612903225806,0.35454545454545455,0.3930861099317312,0.13306451612903225,0.15789473684210525,0.20227288426915122,0.7722772277227723,0.4925373134328358
all_t20_2018_2026,a757b0d8,KA Pollard,True,2026,True,228,159,69,5538.0,3561,34.83018867924528,24.289473684210527,19.0,True,2.700000000000003,7.0,19.0,35.25,50.30000000000001,1.1373744770890315,16,0.07017543859649122,0.10062893081761007,0.49122807017543857,0.5463414634146342,0.5768976432889805,0.3508771929824561,0.41450777202072536,0.4693484277479512,0.11842105263157894,0.15789473684210525,0.25173794212842837,0.8,0.46551724137931033
all_t20_2018_2026,48a1d7b7,SO Hetmyer,True,2026,True,249,190,59,5516.0,3720,29.03157894736842,22.152610441767067,15.0,True,1.0,6.0,15.0,34.0,53.20000000000002,1.3749553187383563,17,0.06827309236947791,0.08947368421052632,0.42168674698795183,0.46255506607929514,0.48879842656677647,0.2931726907630522,0.3333333333333333,0.37312172818986467,0.11646586345381527,0.14215686274509803,0.19964356517749893,0.7525773195876289,0.5
all_t20_2018_2026,b17e2f24,KL Rahul,True,2026,True,128,108,20,5403.0,3803,50.02777777777778,42.2109375,35.5,True,4.700000000000001,15.0,35.5,68.0,86.09999999999998,0.6931864374538389,5,0.0390625,0.046296296296296294,0.6875,0.6929133858267716,0.693135245901639,0.546875,0.5511811023622047,0.5513575819672126,0.390625,0.3937007874015748,0.3938268442622947,0.7954545454545454,0.7142857142857143
all_t20_2018_2026,af2c687b,C Munro,True,2026,True,195,173,22,5365.0,4094,31.01156069364162,27.512820512820515,23.0,True,1.0,7.0,23.0,42.5,59.79999999999998,1.0926539105544655,14,0.07179487179487179,0.08092485549132948,0.5333333333333333,0.538860103626943,0.5416119402985075,0.40512820512820513,0.41361256544502617,0.419993471120813,0.18461538461538463,0.1945945945945946,0.2166538518389864,0.7745098039215687,0.4931506849315068
all_t20_2018_2026,92aeac25,AD Hales,True,2026,True,194,180,14,5320.0,3775,29.555555555555557,27.422680412371133,21.0,True,1.0,7.0,21.0,43.75,63.0,1.0937285672662769,16,0.08247422680412371,0.08888888888888889,0.520618556701031,0.5233160621761658,0.5248859219198917,0.36082474226804123,0.36649214659685864,0.3715397453778389,0.19072164948453607,0.19473684210526315,0.20023598602435916,0.7070707070707071,0.5362318840579711
all_t20_2018_2026,b4b99816,Shubman Gill,True,2026,True,148,129,19,5233.0,3691,40.565891472868216,35.358108108108105,31.0,True,3.700000000000001,9.0,31.0,56.0,84.0,0.8795695219325359,4,0.02702702702702703,0.031007751937984496,0.581081081081081,0.6056338028169014,0.6149602363740537,0.5202702702702703,0.5460992907801419,0.5574015119818797,0.27702702702702703,0.29285714285714287,0.30325034262819944,0.9058823529411765,0.5394736842105263
all_t20_2018_2026,bbd41817,AD Russell,True,2026,True,252,187,65,5061.0,3088,27.06417112299465,20.083333333333332,12.5,True,1.0,4.0,12.5,31.0,49.0,1.3713344254267512,22,0.0873015873015873,0.11764705882352941,0.3968253968253968,0.4291845493562232,0.44858044941003666,0.26587301587301587,0.3059360730593607,0.35539698401421943,0.09126984126984126,0.11386138613861387,0.1936470548687264,0.7790697674418605,0.46
all_t20_2018_2026,ba607b88,V Kohli,True,2026,True,134,113,21,4918.0,3523,43.52212389380531,36.701492537313435,31.5,True,4.0,12.0,31.5,54.75,74.4,0.6072730123539661,6,0.04477611940298507,0.05309734513274336,0.664179104477612,0.6691729323308271,0.6715588723051411,0.5373134328358209,0.5454545454545454,0.5500746268656717,0.3208955223880597,0.3333333333333333,0.34758905471478296,0.8181818181818182,0.6231884057971014
all_t20_2018_2026,271f83cd,SA Yadav,True,2026,True,148,128,20,4791.0,3159,37.4296875,32.37162162162162,28.0,True,1.700000000000001,10.75,28.0,51.0,68.0,0.6484393194322509,13,0.08783783783783784,0.1015625,0.6351351351351351,0.6394557823129252,0.6411269760326364,0.47297297297297297,0.48951048951048953,0.5007168312923588,0.25675675675675674,0.2753623188405797,0.30323492201192753,0.7777777777777778,0.5846153846153846
all_t20_2018_2026,a15618fe,JM Vince,True,2026,True,170,152,18,4776.0,3590,31.42105263157895,28.094117647058823,20.0,True,1.0,8.25,20.0,41.0,71.19999999999999,1.0278639169137467,13,0.07647058823529412,0.08552631578947369,0.5117647058823529,0.5178571428571429,0.5217230199166282,0.35294117647058826,0.35714285714285715,0.35980897925284705,0.2,0.2073170731707317,0.22585192176648428,0.6896551724137931,0.6071428571428571
all_t20_2018_2026,45eda7c8,CA Lynn,True,2025,True,160,149,11,4489.0,3265,30.12751677852349,28.05625,22.0,True,2.0,8.75,22.0,45.25,63.099999999999994,0.8575676174735496,9,0.05625,0.06040268456375839,0.54375,0.54375,0.5437499999999998,0.38125,0.3860759493670886,0.3920528335301061,0.19375,0.1962025316455696,0.1992399645808735,0.7176470588235294,0.5081967213114754
all_t20_2018_2026,b681e71e,GJ Maxwell,True,2026,True,183,149,34,4371.0,2847,29.335570469798657,23.885245901639344,15.0,True,1.0,5.0,15.0,37.0,59.0,1.6321442070121919,18,0.09836065573770492,0.12080536912751678,0.4426229508196721,0.47368421052631576,0.49261939153069206,0.3333333333333333,0.3609467455621302,0.3807477363390242,0.15300546448087432,0.175,0.22012577840521969,0.7721518987341772,0.5384615384615384
all_t20_2018_2026,235c2bb6,H Klaasen,True,2026,True,147,123,24,4359.0,2684,35.4390243902439,29.653061224489797,24.0,True,2.6000000000000014,9.0,24.0,46.5,64.0,0.9967560018551324,8,0.05442176870748299,0.06504065040650407,0.5782312925170068,0.5985915492957746,0.6072886158796451,0.4217687074829932,0.4460431654676259,0.46088624080827795,0.22448979591836735,0.2462686567164179,0.27525867699327333,0.7560975609756098,0.5789473684210527
all_t20_2018_2026,dcce6f09,DA Warner,True,2025,True,131,113,18,4284.0,3202,37.91150442477876,32.70229007633588,23.0,True,2.0,8.0,23.0,52.0,71.0,0.835931257287604,9,0.06870229007633588,0.07964601769911504,0.549618320610687,0.549618320610687,0.549618320610687,0.45038167938931295,0.45384615384615384,0.45710379400706397,0.2900763358778626,0.2992125984251969,0.31381942601080165,0.8309859154929577,0.6785714285714286
all_t20_2018_2026,85ec8e33,SS Iyer,True,2026,True,136,110,26,4266.0,3041,38.78181818181818,31.36764705882353,25.0,True,4.0,10.0,25.0,46.25,68.0,1.2423166482292383,2,0.014705882352941176,0.01818181818181818,0.5441176470588235,0.5481481481481482,0.5490196078431373,0.4338235294117647,0.45038167938931295,0.4646478414623989,0.23529411764705882,0.256,0.28607295661124116,0.8428571428571429,0.6037735849056604
all_t20_2018_2026,a4cc73aa,SV Samson,True,2026,True,141,120,21,4259.0,2891,35.49166666666667,30.20567375886525,23.0,True,2.0,9.0,23.0,48.0,68.0,1.0864612667753173,10,0.07092198581560284,0.08333333333333333,0.5602836879432624,0.5602836879432624,0.5602836879432622,0.41843971631205673,0.41843971631205673,0.41843971631205656,0.2127659574468085,0.22388059701492538,0.25493349675459026,0.7468354430379747,0.5769230769230769
all_t20_2018_2026,a90e53ec,MW Short,True,2026,True,148,136,12,4179.0,2884,30.727941176470587,28.236486486486488,19.0,True,1.0,6.0,19.0,40.25,71.30000000000001,1.1014132194954318,10,0.06756756756756757,0.07352941176470588,0.49324324324324326,0.5,0.5040000000000001,0.41216216216216217,0.4236111111111111,0.43401246245065517,0.20945945945945946,0.21678321678321677,0.2251587877262791,0.8591549295774648,0.5166666666666667
all_t20_2018_2026,d67d5f00,DA Miller,True,2026,True,186,122,64,4059.0,2944,33.27049180327869,21.822580645161292,19.0,True,2.0,7.0,19.0,30.0,45.0,1.2644768562091153,7,0.03763440860215054,0.05737704918032787,0.46774193548387094,0.5337423312883436,0.5695444817821598,0.26881720430107525,0.3424657534246575,0.4262674731848205,0.07526881720430108,0.10687022900763359,0.198554728129686,0.7142857142857143,0.4
all_t20_2018_2026,f1f99156,TH David,True,2026,True,206,141,65,4046.0,2564,28.69503546099291,19.640776699029125,16.0,True,2.0,7.25,16.0,28.0,43.5,0.9778634701006462,9,0.043689320388349516,0.06382978723404255,0.4320388349514563,0.4972067039106145,0.5359538911339484,0.23300970873786409,0.28402366863905326,0.33350287479816043,0.043689320388349516,0.061224489795918366,0.18034008288850542,0.6075949367088608,0.34615384615384615
all_t20_2018_2026,3d284ca3,PD Salt,True,2026,True,156,146,10,4002.0,2615,27.410958904109588,25.653846153846153,19.5,True,1.0,5.75,19.5,39.0,60.5,0.8394033436434073,13,0.08333333333333333,0.08904109589041095,0.5,0.5,0.49999999999999983,0.36538461538461536,0.36774193548387096,0.37127791563275425,0.1858974358974359,0.18831168831168832,0.19498919394861114,0.7402597402597403,0.5178571428571429
all_t20_2018_2026,45a43fe2,RD Gaikwad,True,2026,True,114,101,13,3849.0,2824,38.10891089108911,33.76315789473684,28.0,True,1.0,7.25,28.0,53.75,74.7,0.6759989257534856,7,0.06140350877192982,0.06930693069306931,0.5701754385964912,0.5701754385964912,0.5701754385964914,0.4824561403508772,0.48672566371681414,0.49122807017543885,0.2807017543859649,0.2882882882882883,0.3003105850751282,0.859375,0.6037735849056604
all_t20_2018_2026,752f7486,Ishan Kishan,True,2026,True,128,117,11,3815.0,2631,32.60683760683761,29.8046875,25.0,True,1.0,9.0,25.0,43.25,70.6,1.0473347565700226,12,0.09375,0.10256410256410256,0.5625,0.5669291338582677,0.5686141304347826,0.3984375,0.4015748031496063,0.4027683423913043,0.2109375,0.21428571428571427,0.21818914307381188,0.7083333333333334,0.54
all_t20_2018_2026,1bae756b,ADS Fletcher,True,2026,True,149,135,14,3812.0,2973,28.237037037037037,25.583892617449663,18.0,True,1.8000000000000007,8.0,18.0,37.0,59.20000000000002,1.436222564895906,8,0.053691275167785234,0.05925925925925926,0.4697986577181208,0.47619047619047616,0.47985410486832414,0.3288590604026846,0.33793103448275863,0.3470944691880878,0.1476510067114094,0.15714285714285714,0.18777722762500107,0.7205882352941176,0.5
all_t20_2018_2026,650d5e49,R Powell,True,2026,True,179,135,44,3696.0,2606,27.377777777777776,20.64804469273743,14.0,True,1.0,4.0,14.0,33.0,47.20000000000002,1.2396058372391652,11,0.061452513966480445,0.08148148148148149,0.43575418994413406,0.484472049689441,0.5123510752739578,0.29608938547486036,0.33544303797468356,0.36612365184025125,0.08379888268156424,0.1048951048951049,0.17261002780355178,0.7066666666666667,0.39473684210526316
all_t20_2018_2026,fb2d1dda,N Rana,True,2026,True,140,126,14,3625.0,2627,28.76984126984127,25.892857142857142,21.0,True,1.0,8.0,21.0,37.0,59.400000000000034,1.0906781972395105,10,0.07142857142857142,0.07936507936507936,0.5142857142857142,0.5255474452554745,0.5302279974489795,0.34285714285714286,0.35294117647058826,0.35846399827536635,0.17857142857142858,0.19083969465648856,0.2184910206206277,0.676056338028169,0.5813953488372093
all_t20_2018_2026,50c6bc2b,LS Livingstone,True,2026,True,150,132,18,3623.0,2495,27.446969696969695,24.153333333333332,17.0,True,2.0,5.0,17.0,32.75,64.19999999999999,1.15155356352835,6,0.04,0.045454545454545456,0.44,0.4520547945205479,0.4620817341887779,0.3,0.3125,0.32765306480053713,0.16,0.17391304347826086,0.208728504629752,0.703125,0.6153846153846154
all_t20_2018_2026,3d8feaf8,MR Marsh,True,2026,True,113,100,13,3572.0,2409,35.72,31.61061946902655,23.0,True,2.0,7.0,23.0,50.0,75.19999999999999,0.9585752234223222,10,0.08849557522123894,0.1,0.5398230088495575,0.5545454545454546,0.5587963799088957,0.4424778761061947,0.45454545454545453,0.4580298195974556,0.25663716814159293,0.27102803738317754,0.28997329020103635,0.819672131147541,0.6170212765957447
all_t20_2018_2026,1fc6ef83,SD Hope,True,2026,True,119,103,16,3516.0,2740,34.13592233009709,29.54621848739496,25.0,True,4.0,11.0,25.0,41.5,56.0,1.2153299598166258,2,0.01680672268907563,0.019417475728155338,0.5966386554621849,0.6068376068376068,0.6115431919894395,0.4369747899159664,0.4482758620689655,0.45548215779590645,0.17647058823529413,0.1875,0.20831429989721076,0.7428571428571429,0.4375
all_t20_2018_2026,0a476045,S Dhawan,True,2024,False,103,91,12,3402.0,2556,37.38461538461539,33.029126213592235,26.0,True,1.8000000000000043,8.5,26.0,48.0,78.0,0.8478677297463153,8,0.07766990291262135,0.08791208791208792,0.5631067961165048,0.5686274509803921,0.5690972939475315,0.47572815533980584,0.4803921568627451,0.4807890931625696,0.2524271844660194,0.2549019607843137,0.2551125800454451,0.8448275862068966,0.5306122448979592
all_t20_2018_2026,919a3be2,RR Pant,True,2026,True,114,95,19,3359.0,2319,35.357894736842105,29.464912280701753,26.0,True,3.0,10.25,26.0,41.75,60.10000000000001,1.326784598308342,4,0.03508771929824561,0.042105263157894736,0.5789473684210527,0.6111111111111112,0.6235824257352669,0.42105263157894735,0.4444444444444444,0.4535144914438304,0.16666666666666666,0.18269230769230768,0.19949710404878357,0.7272727272727273,0.4318181818181818
all_t20_2018_2026,09a9d073,J Charles,True,2026,True,118,115,3,3346.0,2515,29.095652173913045,28.35593220338983,24.0,True,3.0,12.0,24.0,42.75,59.599999999999994,0.8557236031710598,2,0.01694915254237288,0.017391304347826087,0.5254237288135594,0.5254237288135594,0.5254237288135593,0.4152542372881356,0.4152542372881356,0.4152542372881356,0.1864406779661017,0.1896551724137931,0.2021343377275581,0.7903225806451613,0.46808510638297873
all_t20_2018_2026,d014d5ac,SE Rutherford,True,2026,True,162,126,36,3263.0,2299,25.896825396825395,20.141975308641975,15.0,True,1.0,5.0,15.0,29.0,47.0,1.0866906328845336,14,0.08641975308641975,0.1111111111111111,0.43209876543209874,0.4605263157894737,0.47397645074930544,0.24691358024691357,0.27586206896551724,0.30650625168361023,0.08641975308641975,0.1044776119402985,0.1643418409027144,0.6349206349206349,0.4827586206896552
