bowler_canonical_id,bowler_canonical_name,spells,overs_bowled,legal_balls,runs_conceded,wickets,economy_overall,strike_rate_balls_per_wicket,spell_economy_p10,spell_economy_p50,spell_economy_p90,two_plus_wicket_spell_rate,dot_ball_pct,qualified,expensive_over_rate,last_active_season,is_recently_active
c13e34f4,Haider Ali,79,79.0,474,493,19,6.241,24.95,2.0,6.0,11.0,0.0,39.66,True,0.0633,2025,True
aed2b202,Arab Gul,19,19.0,114,121,6,6.368,19.0,2.8,5.0,11.0,0.0,37.72,True,0.0526,2025,True
9d430b40,SP Narine,1119,1112.5,6675,7122,286,6.402,23.34,2.0,5.0,12.0,0.0188,42.82,True,0.1155,2026,True
537f5ab2,DL Piedt,28,28.0,168,182,7,6.5,24.0,3.0,5.5,11.0,0.0,39.88,True,0.0714,2025,True
d2d15439,Aayan Afzal Khan,56,55.83,335,368,24,6.591,13.96,2.0,5.0,11.0,0.0357,38.81,True,0.0893,2025,True
c7a995d3,R Sai Kishore,204,202.0,1212,1342,74,6.644,16.38,2.0,6.0,13.0,0.0392,42.24,True,0.1471,2026,True
4eb02f2e,KTH Ratnayake,15,14.83,89,99,5,6.674,17.8,1.52,5.0,12.2,0.1333,37.08,True,0.1333,2025,True
ac2e7ec0,T Murphy,69,69.0,414,465,21,6.739,19.71,2.8,6.0,12.0,0.0145,35.02,True,0.1159,2025,True
9a2fc964,BC Fortuin,175,174.5,1047,1184,39,6.785,26.85,2.4,6.0,12.0,0.0286,38.97,True,0.12,2025,True
9cb8d7a6,Imad Wasim,381,372.33,2234,2536,112,6.811,19.95,2.0,6.0,13.0,0.0262,41.81,True,0.1332,2025,True
fe366f34,C Connolly,73,72.0,432,493,27,6.847,16.0,3.0,6.0,12.0,0.0411,39.58,True,0.137,2025,True
acee4cc4,Imran Tahir,610,601.17,3607,4176,211,6.946,17.09,2.0,6.0,13.0,0.0443,40.39,True,0.1252,2026,True
95a5e066,MG Erasmus,21,21.0,126,146,3,6.952,42.0,3.0,6.0,12.0,0.0,38.1,True,0.1429,2025,True
a61bcb94,K Pierre,240,237.67,1426,1653,68,6.955,20.97,2.0,6.0,12.1,0.0292,46.28,True,0.1333,2026,True
7d92277a,Mujeeb Ur Rahman,507,504.5,3027,3510,143,6.957,21.17,2.0,6.0,13.0,0.0217,43.31,True,0.1409,2026,True
e94d1dcd,Usman Tariq,99,98.67,592,687,40,6.963,14.8,2.0,6.0,13.2,0.0505,43.58,True,0.1058,2026,True
5cdf8304,JA Davies,45,45.0,270,314,15,6.978,18.0,3.0,6.0,12.0,0.0667,27.04,True,0.2,2025,True
3feda4fa,RL Chase,242,241.5,1449,1690,73,6.998,19.85,2.0,6.5,12.0,0.0207,43.0,True,0.1157,2026,True
19b9f399,CJ Green,664,657.5,3945,4608,164,7.008,24.05,2.0,6.0,13.0,0.0196,39.9,True,0.1256,2026,True
62af8546,Mohammad Nabi,281,282.83,1697,1985,85,7.018,19.96,2.0,6.0,12.0,0.0356,37.36,True,0.1424,2026,True
462411b3,JJ Bumrah,434,432.17,2593,3040,141,7.034,18.39,2.0,6.0,13.0,0.053,44.54,True,0.1406,2026,True
51a60c16,CJ Boyce,222,220.0,1320,1552,65,7.055,20.31,3.0,6.0,12.0,0.0225,29.77,True,0.1216,2025,True
4d7f517e,AJ Hosein,562,561.0,3366,3970,163,7.077,20.65,2.0,6.0,13.0,0.0231,44.12,True,0.1456,2026,True
17bcec2a,D Forrester,14,14.0,84,100,4,7.143,21.0,3.3,6.5,11.7,0.0,39.29,True,0.1429,2026,True
5f547c8b,Rashid Khan,1083,1077.5,6465,7702,353,7.148,18.31,2.0,6.0,13.9,0.0342,38.86,True,0.1486,2026,True
2e171977,AR Patel,454,454.0,2724,3248,96,7.154,28.38,3.0,6.0,13.0,0.0044,35.06,True,0.1388,2026,True
00b195ae,TH Aspinwall,10,9.17,55,66,3,7.2,18.33,2.28,5.4,15.12,0.1,45.45,True,0.1818,2025,True
92b7602a,AR Nedd,76,75.83,455,547,19,7.213,23.95,2.0,6.0,15.0,0.0263,43.96,True,0.1579,2026,True
a343262c,JE Root,44,44.5,267,323,11,7.258,24.27,3.18,6.0,11.64,0.0,29.21,True,0.102,2026,True
fb2d1dda,N Rana,104,101.17,607,740,33,7.315,18.39,2.3,6.0,13.7,0.0288,34.43,True,0.1346,2026,True
0b60eb09,KA Maharaj,174,174.0,1044,1273,49,7.316,21.31,2.3,6.0,13.0,0.0057,35.92,True,0.1667,2025,True
ab21795b,BAD Manenti,100,99.5,597,728,22,7.317,27.14,3.9,6.0,13.0,0.0,31.16,True,0.16,2025,True
208f22ea,DJ Worrall,255,256.33,1538,1876,78,7.319,19.72,1.88,7.0,13.68,0.0314,48.5,True,0.1741,2026,True
249d60c9,AU Rashid,284,281.5,1689,2066,98,7.339,17.23,3.0,6.8,13.0,0.0387,35.17,True,0.1218,2026,True
3f9ec1d2,C Stow,20,19.83,119,146,6,7.361,19.83,4.0,7.0,12.0,0.05,25.21,True,0.15,2025,True
24f6e254,JM James,25,24.0,144,177,13,7.375,11.08,2.4,7.0,12.6,0.08,43.75,True,0.12,2026,True
56b93d46,BJ Webster,93,92.0,552,679,20,7.38,27.6,3.2,7.0,12.8,0.0215,28.44,True,0.1183,2025,True
e9987a94,C Overton,147,133.5,801,986,48,7.386,16.69,2.24,6.0,14.4,0.034,47.57,True,0.1226,2026,True
f6d8a7ab,K Kartikeya,103,103.0,618,762,30,7.398,20.6,2.2,6.0,14.8,0.0388,38.67,True,0.1942,2025,True
bb351c23,MM Ali,317,314.0,1884,2328,84,7.414,22.43,2.0,6.0,14.0,0.0126,36.57,True,0.159,2026,True
7dfb8890,S Muthusamy,80,78.83,473,585,27,7.421,17.52,3.0,7.0,13.0,0.0375,30.02,True,0.1625,2025,True
f19ccfad,Washington Sundar,228,226.67,1360,1683,41,7.425,33.17,2.0,6.5,14.0,0.0088,35.88,True,0.1754,2026,True
a97c8ec2,PWH de Silva,270,270.0,1620,2005,101,7.426,16.04,2.0,6.5,13.0,0.0407,39.51,True,0.1926,2026,True
c05edf8e,Harpreet Brar,251,249.83,1499,1858,73,7.437,20.53,2.0,7.0,14.0,0.0398,37.63,True,0.1753,2026,True
7ec9711d,P Subrayen,47,45.83,275,342,15,7.462,18.33,2.0,6.0,13.8,0.0426,36.0,True,0.1915,2025,True
44afbf2d,NJ Maddinson,34,34.0,204,254,13,7.471,15.69,4.0,8.0,11.0,0.0,25.0,True,0.0882,2025,True
e4a0deae,MJ Santner,235,226.0,1356,1690,59,7.478,22.98,2.0,7.0,14.0,0.0213,38.05,True,0.1494,2026,True
a2421394,AC Agar,243,243.0,1458,1818,54,7.481,27.0,3.0,7.0,13.0,0.0082,33.54,True,0.1481,2025,True
5b8c830e,KH Pandya,464,461.0,2766,3449,108,7.482,25.61,3.0,7.0,14.0,0.0216,33.48,True,0.1746,2026,True
f0af99a7,D Ferreira,85,85.67,514,642,22,7.494,23.36,3.0,6.0,14.0,0.0353,32.68,True,0.1609,2026,True
66162077,J Bishop,71,70.83,425,531,19,7.496,22.37,2.0,6.0,14.0,0.0,44.47,True,0.1831,2026,True
26d041c4,Sikandar Raza,268,268.0,1608,2011,75,7.504,21.44,3.0,7.0,13.3,0.0299,36.5,True,0.1691,2026,True
cf0ccafa,M Siddharth,49,49.0,294,370,24,7.551,12.25,2.0,7.0,15.2,0.0408,43.54,True,0.2041,2026,True
e174dadd,Mohammad Amir,285,275.5,1653,2084,103,7.564,16.05,2.0,7.0,14.4,0.0351,47.43,True,0.1793,2026,True
218d4d78,MT Renshaw,57,56.17,337,425,14,7.567,24.07,3.6,6.0,13.0,0.0,29.97,True,0.1404,2025,True
23638956,SR Harmer,79,79.0,474,598,13,7.57,36.46,3.0,6.0,13.0,0.0,32.49,True,0.1519,2025,True
