bowler_canonical_id,bowler_canonical_name,spells,overs_bowled,legal_balls,runs_conceded,wickets,economy_overall,strike_rate_balls_per_wicket,spell_economy_p10,spell_economy_p50,spell_economy_p90,two_plus_wicket_spell_rate,dot_ball_pct,qualified,expensive_over_rate,last_active_season,is_recently_active
9d430b40,SP Narine,1119,1112.5,6675,7122,286,6.402,23.34,2.0,5.0,12.0,0.0188,42.82,True,0.1155,2026,True
c7a995d3,R Sai Kishore,204,202.0,1212,1342,74,6.644,16.38,2.0,6.0,13.0,0.0392,42.24,True,0.1471,2026,True
acee4cc4,Imran Tahir,610,601.17,3607,4176,211,6.946,17.09,2.0,6.0,13.0,0.0443,40.39,True,0.1252,2026,True
7d92277a,Mujeeb Ur Rahman,507,504.5,3027,3510,143,6.957,21.17,2.0,6.0,13.0,0.0217,43.31,True,0.1409,2026,True
19b9f399,CJ Green,664,657.5,3945,4608,164,7.008,24.05,2.0,6.0,13.0,0.0196,39.9,True,0.1256,2026,True
62af8546,Mohammad Nabi,281,282.83,1697,1985,85,7.018,19.96,2.0,6.0,12.0,0.0356,37.36,True,0.1424,2026,True
462411b3,JJ Bumrah,434,432.17,2593,3040,141,7.034,18.39,2.0,6.0,13.0,0.053,44.54,True,0.1406,2026,True
4d7f517e,AJ Hosein,562,561.0,3366,3970,163,7.077,20.65,2.0,6.0,13.0,0.0231,44.12,True,0.1456,2026,True
5f547c8b,Rashid Khan,1083,1077.5,6465,7702,353,7.148,18.31,2.0,6.0,13.9,0.0342,38.86,True,0.1486,2026,True
2e171977,AR Patel,454,454.0,2724,3248,96,7.154,28.38,3.0,6.0,13.0,0.0044,35.06,True,0.1388,2026,True
a343262c,JE Root,44,44.5,267,323,11,7.258,24.27,3.18,6.0,11.64,0.0,29.21,True,0.102,2026,True
fb2d1dda,N Rana,104,101.17,607,740,33,7.315,18.39,2.3,6.0,13.7,0.0288,34.43,True,0.1346,2026,True
0b60eb09,KA Maharaj,174,174.0,1044,1273,49,7.316,21.31,2.3,6.0,13.0,0.0057,35.92,True,0.1667,2025,True
249d60c9,AU Rashid,284,281.5,1689,2066,98,7.339,17.23,3.0,6.8,13.0,0.0387,35.17,True,0.1218,2026,True
f6d8a7ab,K Kartikeya,103,103.0,618,762,30,7.398,20.6,2.2,6.0,14.8,0.0388,38.67,True,0.1942,2025,True
bb351c23,MM Ali,317,314.0,1884,2328,84,7.414,22.43,2.0,6.0,14.0,0.0126,36.57,True,0.159,2026,True
f19ccfad,Washington Sundar,228,226.67,1360,1683,41,7.425,33.17,2.0,6.5,14.0,0.0088,35.88,True,0.1754,2026,True
a97c8ec2,PWH de Silva,270,270.0,1620,2005,101,7.426,16.04,2.0,6.5,13.0,0.0407,39.51,True,0.1926,2026,True
c05edf8e,Harpreet Brar,251,249.83,1499,1858,73,7.437,20.53,2.0,7.0,14.0,0.0398,37.63,True,0.1753,2026,True
e4a0deae,MJ Santner,235,226.0,1356,1690,59,7.478,22.98,2.0,7.0,14.0,0.0213,38.05,True,0.1494,2026,True
5b8c830e,KH Pandya,464,461.0,2766,3449,108,7.482,25.61,3.0,7.0,14.0,0.0216,33.48,True,0.1746,2026,True
f0af99a7,D Ferreira,85,85.67,514,642,22,7.494,23.36,3.0,6.0,14.0,0.0353,32.68,True,0.1609,2026,True
26d041c4,Sikandar Raza,268,268.0,1608,2011,75,7.504,21.44,3.0,7.0,13.3,0.0299,36.5,True,0.1691,2026,True
cf0ccafa,M Siddharth,49,49.0,294,370,24,7.551,12.25,2.0,7.0,15.2,0.0408,43.54,True,0.2041,2026,True
e5437608,GF Linde,163,160.33,962,1215,40,7.578,24.05,3.0,7.0,14.0,0.0307,38.67,True,0.1646,2026,True
2ed569a0,RD Chahar,335,332.5,1995,2522,95,7.585,21.0,3.0,7.0,14.0,0.0328,35.94,True,0.1791,2026,True
4933f499,JP Behrendorff,385,383.33,2300,2909,131,7.589,17.56,2.0,7.0,14.0,0.0312,45.57,True,0.1718,2025,True
14f96089,A Zampa,508,498.67,2992,3785,181,7.59,16.53,3.0,7.0,14.0,0.0295,33.72,True,0.1615,2026,True
ed5a5510,P Dubey,43,43.0,258,327,9,7.605,28.67,2.2,7.0,13.6,0.0233,30.62,True,0.1395,2025,True
fe93fd9d,RA Jadeja,390,388.17,2329,2959,98,7.623,23.77,3.0,6.0,14.0,0.0256,32.12,True,0.1718,2026,True
a03bba42,T Shamsi,238,237.5,1425,1822,78,7.672,18.27,3.0,6.5,14.0,0.063,34.67,True,0.1714,2025,True
