bowler_canonical_id,bowler_canonical_name,spells,overs_bowled,legal_balls,runs_conceded,wickets,economy_overall,strike_rate_balls_per_wicket,spell_economy_p10,spell_economy_p50,spell_economy_p90,two_plus_wicket_spell_rate,dot_ball_pct,qualified,expensive_over_rate,last_active_season,is_recently_active
9d430b40,SP Narine,1119,1112.5,6675,7122,286,6.402,23.34,2.0,5.0,12.0,0.0188,42.82,True,0.1155,2026,True
5f547c8b,Rashid Khan,1083,1077.5,6465,7702,353,7.148,18.31,2.0,6.0,13.9,0.0342,38.86,True,0.1486,2026,True
a818c1be,TA Boult,793,782.67,4696,6477,251,8.276,18.71,2.08,8.0,15.0,0.029,42.5,True,0.2306,2026,True
0f721006,JO Holder,699,693.0,4158,5821,232,8.4,17.92,3.0,8.0,15.12,0.0401,39.73,True,0.2389,2026,True
19b9f399,CJ Green,664,657.5,3945,4608,164,7.008,24.05,2.0,6.0,13.0,0.0196,39.9,True,0.1256,2026,True
bbd41817,AD Russell,643,628.5,3771,6105,233,9.714,16.18,4.0,9.0,16.8,0.0327,34.37,True,0.3152,2026,True
acee4cc4,Imran Tahir,610,601.17,3607,4176,211,6.946,17.09,2.0,6.0,13.0,0.0443,40.39,True,0.1252,2026,True
4d7f517e,AJ Hosein,562,561.0,3366,3970,163,7.077,20.65,2.0,6.0,13.0,0.0231,44.12,True,0.1456,2026,True
57ee1fde,YS Chahal,556,554.17,3325,4415,182,7.967,18.27,3.0,7.0,14.0,0.0288,34.71,True,0.2086,2026,True
caf69bf7,DR Sams,530,516.17,3097,4489,195,8.697,15.88,3.0,8.0,15.0,0.0491,35.97,True,0.2298,2026,True
ffe699c0,CJ Jordan,541,512.17,3073,4495,160,8.776,19.21,3.0,8.0,15.6,0.0259,34.01,True,0.207,2026,True
7d92277a,Mujeeb Ur Rahman,507,504.5,3027,3510,143,6.957,21.17,2.0,6.0,13.0,0.0217,43.31,True,0.1409,2026,True
14f96089,A Zampa,508,498.67,2992,3785,181,7.59,16.53,3.0,7.0,14.0,0.0295,33.72,True,0.1615,2026,True
e62dd25d,K Rabada,498,495.5,2973,4250,189,8.577,15.73,3.0,8.0,15.0,0.0341,42.15,True,0.245,2026,True
efc04be7,Noor Ahmad,501,493.5,2961,3841,166,7.783,17.84,3.0,7.0,14.0,0.0359,39.11,True,0.1779,2026,True
e94915e6,SM Curran,510,488.17,2929,4509,147,9.237,19.93,3.6,8.4,16.8,0.0275,34.04,True,0.2456,2026,True
87e562a9,DJ Bravo,484,478.67,2872,4214,156,8.804,18.41,4.0,8.0,15.0,0.0289,30.92,True,0.2254,2024,False
2f49c897,Mohammed Siraj,475,473.0,2838,4057,141,8.577,20.13,2.0,8.0,15.0,0.0337,44.93,True,0.2337,2026,True
2e81a32d,B Kumar,476,473.0,2838,3781,132,7.994,21.5,2.0,8.0,14.0,0.0273,43.27,True,0.2038,2026,True
5b8c830e,KH Pandya,464,461.0,2766,3449,108,7.482,25.61,3.0,7.0,14.0,0.0216,33.48,True,0.1746,2026,True
2e171977,AR Patel,454,454.0,2724,3248,96,7.154,28.38,3.0,6.0,13.0,0.0044,35.06,True,0.1388,2026,True
9eb1455b,NT Ellis,472,452.5,2715,3814,148,8.429,18.34,3.6,8.0,14.0,0.036,33.96,True,0.1954,2026,True
495d42a5,R Ashwin,434,433.33,2600,3379,96,7.798,27.08,3.0,7.0,14.0,0.0276,30.85,True,0.1797,2026,True
462411b3,JJ Bumrah,434,432.17,2593,3040,141,7.034,18.39,2.0,6.0,13.0,0.053,44.54,True,0.1406,2026,True
81c36ee9,M Jansen,441,430.5,2583,3658,135,8.497,19.13,2.0,8.0,15.0,0.0317,44.48,True,0.2313,2026,True
c5aef772,R Shepherd,430,426.33,2558,3865,144,9.066,17.76,3.0,8.0,16.0,0.0442,38.94,True,0.2698,2026,True
e1b9f3a9,BJ Dwarshuis,426,416.5,2499,3389,161,8.137,15.52,3.0,7.0,15.0,0.0469,41.34,True,0.2254,2026,True
d9273ee7,MP Stoinis,430,416.17,2497,3756,148,9.025,16.87,3.0,8.4,16.08,0.0419,34.96,True,0.2593,2026,True
5574750c,JC Archer,428,411.33,2468,3283,137,7.981,18.01,2.0,7.2,15.0,0.0304,44.77,True,0.2168,2026,True
7c7d63a2,AJ Tye,418,409.5,2457,3562,156,8.698,15.75,3.0,8.0,16.0,0.0383,37.61,True,0.222,2026,True
64775749,RP Meredith,411,402.5,2415,3415,147,8.484,16.43,3.0,8.0,15.0,0.0414,40.95,True,0.2403,2025,True
244048f6,Arshdeep Singh,406,402.17,2413,3568,131,8.872,18.42,3.0,9.0,15.0,0.0296,38.21,True,0.266,2026,True
e86754b2,TK Curran,430,399.67,2398,3585,146,8.97,16.42,3.0,8.0,16.0,0.0488,34.2,True,0.2251,2026,True
1abb78f8,SN Thakur,403,398.33,2390,3761,130,9.442,18.38,3.2,9.0,16.0,0.0471,35.9,True,0.3176,2026,True
b0946605,AS Joseph,402,396.83,2381,3392,130,8.548,18.32,3.0,8.0,15.0,0.0249,45.36,True,0.2537,2026,True
ce820073,Sandeep Sharma,398,395.33,2372,3182,101,8.049,23.49,3.0,7.0,15.0,0.0201,37.52,True,0.201,2026,True
8cf9814c,Mohammed Shami,390,389.17,2335,3342,130,8.588,17.96,2.0,8.0,16.0,0.0385,43.55,True,0.2564,2026,True
fe93fd9d,RA Jadeja,390,388.17,2329,2959,98,7.623,23.77,3.0,6.0,14.0,0.0256,32.12,True,0.1718,2026,True
4933f499,JP Behrendorff,385,383.33,2300,2909,131,7.589,17.56,2.0,7.0,14.0,0.0312,45.57,True,0.1718,2025,True
22ae3041,Fawad Ahmed,379,378.5,2271,2622,114,6.927,19.92,2.0,6.0,13.0,0.0264,37.3,True,0.1398,2022,False
eef2536f,Avesh Khan,376,373.5,2241,3349,123,8.967,18.22,3.0,8.0,16.0,0.0372,38.02,True,0.2739,2026,True
23eeb873,DL Chahar,377,373.17,2239,3013,111,8.074,20.17,3.0,7.0,14.0,0.0186,43.99,True,0.1989,2026,True
9cb8d7a6,Imad Wasim,381,372.33,2234,2536,112,6.811,19.95,2.0,6.0,13.0,0.0262,41.81,True,0.1332,2025,True
df064e1a,Ravi Bishnoi,372,371.17,2227,2914,112,7.851,19.88,3.0,7.0,15.0,0.0215,36.42,True,0.1909,2026,True
5b7ab5a9,CV Varun,368,367.67,2206,2824,116,7.681,19.02,3.0,7.0,15.0,0.0272,37.76,True,0.1848,2026,True
f986ca1a,HV Patel,372,365.83,2195,3248,143,8.878,15.35,3.0,8.0,15.0,0.043,34.4,True,0.2446,2026,True
2f9d0389,LH Ferguson,376,359.83,2159,3103,112,8.623,19.28,2.4,8.0,15.0,0.0266,40.9,True,0.2447,2026,True
98ae73b1,PP Chawla,357,354.17,2125,2766,116,7.81,18.32,3.0,7.0,14.0,0.0168,37.32,True,0.1821,2025,True
85e0cf10,M Prasidh Krishna,355,351.33,2108,3060,105,8.71,20.08,2.0,9.0,15.0,0.0254,42.84,True,0.2451,2026,True
1e66c162,JD Unadkat,350,346.83,2081,3005,110,8.664,18.92,3.0,8.0,15.0,0.0286,34.55,True,0.24,2026,True
8d2c70ad,Kuldeep Yadav,342,341.0,2046,2809,98,8.238,20.88,3.0,7.5,14.9,0.0351,30.94,True,0.193,2026,True
acdc62f5,A Nortje,340,335.5,2013,2803,114,8.355,17.66,3.0,8.0,15.0,0.0206,43.37,True,0.2353,2026,True
2ed569a0,RD Chahar,335,332.5,1995,2522,95,7.585,21.0,3.0,7.0,14.0,0.0328,35.94,True,0.1791,2026,True
a2f46292,KK Ahmed,334,331.83,1991,2905,111,8.754,17.94,3.0,8.0,15.0,0.021,42.99,True,0.2575,2026,True
b681e71e,GJ Maxwell,333,331.83,1991,2602,89,7.841,22.37,3.0,7.0,13.9,0.009,32.8,True,0.1677,2026,True
1a2676c5,SA Abbott,334,325.0,1950,2696,141,8.295,13.83,3.0,7.2,15.0,0.0359,39.54,True,0.2292,2025,True
3b53243a,XC Bartlett,323,319.17,1915,2852,111,8.936,17.25,3.0,8.0,15.0,0.0433,39.37,True,0.2755,2026,True
529eb9e0,OC McCoy,322,316.17,1897,2857,105,9.036,18.07,3.0,8.0,16.0,0.0186,40.06,True,0.2578,2026,True
bb351c23,MM Ali,317,314.0,1884,2328,84,7.414,22.43,2.0,6.0,14.0,0.0126,36.57,True,0.159,2026,True
dfc4d8b5,KW Richardson,322,310.0,1860,2474,113,7.981,16.46,2.0,7.0,15.0,0.0404,40.22,True,0.1889,2025,True
bd93fea4,PM Siddle,317,308.0,1848,2407,118,7.815,15.66,3.0,7.0,15.0,0.0505,39.88,True,0.183,2026,True
f24c6701,M Theekshana,309,306.5,1839,2368,81,7.726,22.7,3.0,7.0,13.2,0.0291,37.25,True,0.1748,2026,True
350bb1b1,AF Milne,324,302.17,1813,2349,105,7.774,17.27,2.0,7.2,14.28,0.0309,46.83,True,0.155,2026,True
ce794613,T Natarajan,305,301.67,1810,2692,87,8.924,20.8,3.0,9.0,15.0,0.0328,33.2,True,0.2852,2026,True
7f048519,DJ Willey,310,298.17,1789,2366,80,7.935,22.36,2.4,7.1,14.4,0.0323,44.1,True,0.1672,2026,True
c0c411cb,Naveen-ul-Haq,299,295.0,1770,2582,94,8.753,18.83,2.0,8.0,16.0,0.0201,38.47,True,0.2567,2025,True
11614d87,D Pretorius,289,285.33,1712,2507,102,8.786,16.78,3.0,8.4,15.0,0.0346,37.38,True,0.2699,2026,True
46a9bea1,TU Deshpande,286,283.17,1699,2606,103,9.203,16.5,3.5,8.0,16.5,0.0559,39.2,True,0.2657,2026,True
62af8546,Mohammad Nabi,281,282.83,1697,1985,85,7.018,19.96,2.0,6.0,12.0,0.0356,37.36,True,0.1424,2026,True
249d60c9,AU Rashid,284,281.5,1689,2066,98,7.339,17.23,3.0,6.8,13.0,0.0387,35.17,True,0.1218,2026,True
b0eaaac6,Ali Khan,281,276.17,1657,2539,83,9.194,19.96,4.0,8.0,16.0,0.032,36.93,True,0.2811,2026,True
e174dadd,Mohammad Amir,285,275.5,1653,2084,103,7.564,16.05,2.0,7.0,14.4,0.0351,47.43,True,0.1793,2026,True
3f1066d0,Waqar Salamkheil,278,273.83,1643,2205,99,8.052,16.6,2.0,7.0,15.0,0.0252,38.22,True,0.2194,2026,True
b410bd3d,S Lamichhane,273,271.67,1630,1924,88,7.082,18.52,2.0,7.0,13.0,0.0403,39.51,True,0.1319,2021,False
a97c8ec2,PWH de Silva,270,270.0,1620,2005,101,7.426,16.04,2.0,6.5,13.0,0.0407,39.51,True,0.1926,2026,True
ded9240e,PJ Cummins,269,268.33,1610,2420,76,9.019,21.18,3.0,8.0,16.0,0.0186,38.01,True,0.2825,2026,True
26d041c4,Sikandar Raza,268,268.0,1608,2011,75,7.504,21.44,3.0,7.0,13.3,0.0299,36.5,True,0.1691,2026,True
24bb1c2f,Haris Rauf,274,265.17,1591,2173,110,8.195,14.46,2.4,8.0,15.6,0.073,39.66,True,0.1855,2026,True
6c79c098,DA Payne,272,256.67,1540,2208,96,8.603,16.04,2.4,8.0,15.6,0.0478,41.56,True,0.2071,2026,True
208f22ea,DJ Worrall,255,256.33,1538,1876,78,7.319,19.72,1.88,7.0,13.68,0.0314,48.5,True,0.1741,2026,True
