canonical_name,primary_role,nationality,total_matches_played,latest_sold_price,predicted_valuation,valuation_diff,value_margin_ratio
JD Unadkat,Bowler,Indian,157,10000000.0,59282369.56,49282369.56,5.93
Q de Kock,Wicket Keeper,Overseas,254,10000000.0,58036194.54,48036194.54,5.8
PP Chawla,Bowler,Indian,243,5000000.0,47922312.23,42922312.23,9.58
MK Pandey,Batsman,Indian,218,7500000.0,48757174.78,41257174.78,6.5
F du Plessis,Batsman,Overseas,285,20000000.0,55895120.58,35895120.58,2.79
NM Coulter-Nile,Bowler,Overseas,113,20000000.0,54875983.93,34875983.93,2.74
AD Russell,All-Rounder,,372,6000000.0,39818948.37,33818948.37,6.64
AM Rahane,Batsman,Indian,232,15000000.0,44921202.3,29921202.3,2.99
JP Behrendorff,Bowler,Overseas,142,7500000.0,37052681.97,29552681.97,4.94
XC Bartlett,Unknown,Overseas,92,8000000.0,37344604.51,29344604.51,4.67
GJ Maxwell,All-Rounder,Overseas,295,42000000.0,71270253.5,29270253.5,1.7
Sandeep Sharma,Bowler,Indian,168,5000000.0,33983202.15,28983202.15,6.8
AM Hardie,Unknown,Overseas,89,12500000.0,40533910.14,28033910.14,3.24
M Ashwin,Bowler,Indian,82,2000000.0,29690546.8,27690546.8,14.85
Yuvraj Singh,All-Rounder,,157,10000000.0,36852534.98,26852534.98,3.69
ZGF Foulkes,Unknown,Overseas,0,7500000.0,34083768.03,26583768.03,4.54
Luka Woods,Unknown,Overseas,0,7500000.0,34083768.03,26583768.03,4.54
RP Meredith,Bowler,Overseas,114,10000000.0,36377905.25,26377905.25,3.64
HH Pandya,All-Rounder,,173,1000000.0,27325830.5,26325830.5,27.33
Mandeep Singh,All-Rounder,Indian,160,5000000.0,31316366.28,26316366.28,6.26
Kuldeep Yadav,Bowler,Indian,130,2000000.0,28109797.0,26109797.0,14.05
PA Patel,All-Rounder,Indian,155,2000000.0,27543620.52,25543620.52,13.77
SW Billings,Wicket Keeper,Overseas,185,20000000.0,45024464.22,25024464.22,2.25
R Shepherd,All-Rounder,Overseas,174,15000000.0,39915311.62,24915311.62,2.66
DR Sams,All-Rounder,Overseas,163,7500000.0,31562190.59,24062190.59,4.21
JE Root,Batter,Overseas,57,10000000.0,33895438.31,23895438.31,3.39
KR Mayers,All-Rounder,Overseas,141,5000000.0,28814864.35,23814864.35,5.76
SS Tiwary,Batsman,,127,5000000.0,28692056.5,23692056.5,5.74
DJ Hooda,All-Rounder,Indian,161,17000000.0,40470717.45,23470717.45,2.38
Duan Jansen,All-Rounder,Overseas,0,2000000.0,25286417.5,23286417.5,12.64
S Gopal,Bowler,Indian,79,3000000.0,26226927.62,23226927.62,8.74
TG Southee,Bowler,Overseas,86,15000000.0,38049991.63,23049991.63,2.54
RV Uthappa,Batsman,Indian,243,20000000.0,42968403.03,22968403.03,2.15
LB Williams,Unknown,Overseas,23,7500000.0,30332732.77,22832732.77,4.04
Shakib Al Hasan,All-Rounder,Overseas,137,15000000.0,37196399.06,22196399.06,2.48
RD Rickelton,Unknown,Overseas,79,10000000.0,31682286.2,21682286.2,3.17
BA Carse,Unknown,Overseas,31,10000000.0,31569239.12,21569239.12,3.16
BCJ Cutting,All-Rounder,,148,7500000.0,28808540.54,21308540.54,3.84
T Stubbs,Wicket-Keeper,Overseas,114,5000000.0,26242898.5,21242898.5,5.25
WP Saha,Wicket Keeper,Indian,194,19000000.0,39980474.62,20980474.62,2.1
Mohammad Nabi,All-Rounder,Overseas,126,15000000.0,35496202.83,20496202.83,2.37
MP Breetzke,Unknown,Overseas,53,7500000.0,27663640.57,20163640.57,3.69
AD Hales,Batsman,Overseas,209,15000000.0,35148522.41,20148522.41,2.34
Shashank Singh,All-Rounder,Indian,81,2000000.0,22105795.39,20105795.39,11.05
P Negi,All-Rounder,,81,5000000.0,25105724.69,20105724.69,5.02
Shubham Chaubey,Batter,Indian,18,8000000.0,28085335.43,20085335.43,3.51
AP Tare,Wicket Keeper,,78,2000000.0,22051132.59,20051132.59,11.03
SK Rasheed,Batter,Indian,9,3000000.0,23041270.29,20041270.29,7.68
RA Tripathi,All-Rounder,,131,1000000.0,20834172.18,19834172.18,20.83
E Lewis,Batsman,Overseas,148,20000000.0,39679077.32,19679077.32,1.98
JP Faulkner,All-Rounder,,126,400000.0,20061355.71,19661355.71,50.15
M Markande,Bowler,Indian,75,3000000.0,22608745.16,19608745.16,7.54
Amit Mishra,Bowler,Indian,25,5000000.0,24533434.58,19533434.58,4.91
S Kaul,Bowler,Indian,102,7500000.0,26781954.08,19281954.08,3.57
Saurav Chauhan,Batter,Indian,16,2000000.0,21123284.05,19123284.05,10.56
N Burger,Bowler,Overseas,54,5000000.0,24104178.36,19104178.36,4.82
DJG Sammy,All-Rounder,,103,3000000.0,21853192.34,18853192.34,7.28
E Malinga,Unknown,Overseas,25,12000000.0,30641859.36,18641859.36,2.55
AJ Tye,Bowler,,161,10000000.0,28595197.38,18595197.38,2.86
NT Ellis,Bowler,Overseas,128,20000000.0,38541791.36,18541791.36,1.93
S Nadeem,Bowler,Indian,100,5000000.0,23472898.2,18472898.2,4.69
T Kohler-Cadmore,Wicket-Keeper,Overseas,87,4000000.0,22069689.58,18069689.58,5.52
Karim Janat,Unknown,Overseas,12,7500000.0,24979541.04,17479541.04,3.33
SA Abbott,Bowler,Overseas,147,24000000.0,41478493.94,17478493.94,1.73
VR Aaron,Bowler,Indian,74,5000000.0,22454181.86,17454181.86,4.49
LH Ferguson,Bowler,Overseas,110,20000000.0,37453448.95,17453448.95,1.87
V Shankar,All-Rounder,Indian,109,12000000.0,29433496.9,17433496.9,2.45
C Karunaratne,All-Rounder,Overseas,5,5000000.0,22406238.47,17406238.47,4.48
AR Nair,Batsman,Indian,0,5000000.0,22368367.83,17368367.83,4.47
M Vohra,Batsman,Indian,86,2000000.0,19355032.18,17355032.18,9.68
TK Curran,All-Rounder,Overseas,125,15000000.0,32341710.24,17341710.24,2.16
