source_name,category,suggested_id_1,suggested_name_1,score_1,suggested_id_2,suggested_name_2,score_2
Aaron Finch,ambiguous_initials,b8d490fd,AJ Finch,0.737,fc63d916,AW Finch,0.737
Abhijeet Tomar,ambiguous_initials,b91083bd,Abhijeet Ahuja,0.714,5fd3f9db,Abhijeet Saket,0.714
Abu Nechim Ahmed,ambiguous_initials,,,,,,
Akshar Rajesh Patel,ambiguous_initials,f15d17c7,Sarfaraj Patel,0.727,8372988e,Paresh Patel,0.71
Aneeshwar Gautam,ambiguous_initials,8ea5d605,Anshuman Gautam,0.774,,,
Ankit Nagendra Sharma,ambiguous_initials,24d94623,Ankit Sharma,0.727,,,
Anukul Roy,ambiguous_initials,a7f2c013,AK Roy,0.75,f959a351,Pankaj Roy,0.7
Arshin Kulkarni,ambiguous_initials,2d140b79,AA Kulkarni,0.769,d2a989fc,DS Kulkarni,0.769
Ashton Turner,ambiguous_initials,1ea5598c,A Turner,0.762,7442f8dd,S Turner,0.762
Axar Rajesh Patel,ambiguous_initials,8372988e,Paresh Patel,0.759,f15d17c7,Sarfaraj Patel,0.71
Bevan John Jacobs,ambiguous_initials,,,,,,
Bhuvneshwar Kumar,ambiguous_initials,,,,,,
Cameron Green,ambiguous_initials,bf26cd81,AM Green,0.762,5412c5bf,CM Green,0.762
Chris Green,ambiguous_initials,eaa76d3c,C Green,0.778,19b9f399,CJ Green,0.737
Christopher Morris,ambiguous_initials,1f50a44a,Christopher Taylor,0.778,76419733,Sophie Morris,0.774
Daniel Christian,ambiguous_initials,3b1fa4cb,DO Christian,0.786,2a2e6343,DT Christian,0.786
Darren Bravo,ambiguous_initials,87e562a9,DJ Bravo,0.7,14b14cd8,DM Bravo,0.7
Dawid Malan,ambiguous_initials,47a09f4f,D Malan,0.778,ad9c32a2,DJ Malan,0.737
Debabrata Das,ambiguous_initials,a77f51d0,Debabrata Paul,0.815,347fb4e1,Debabrata Pradhan,0.8
Digvesh Singh,ambiguous_initials,a446c7be,Vivek Singh,0.75,2be0cc2f,Bikash Singh,0.72
Dwaine Pretorius,ambiguous_initials,11614d87,D Pretorius,0.815,398dd99c,N Pretorius,0.815
Dwayne Bravo,ambiguous_initials,87e562a9,DJ Bravo,0.7,14b14cd8,DM Bravo,0.7
Fabian Allen,ambiguous_initials,b52ffbbd,FA Allen,0.8,04f6c7f8,N Allen,0.737
Harshal Patel,ambiguous_initials,c5147782,ARH Patel,0.818,eaeaf575,Anisha Patel,0.8
Ishwar Chandra Pandey,ambiguous_initials,f8c7484e,Sachidanand Pandey,0.718,fe473dc2,Ishwar Chaudhary,0.703
Jason Roy,ambiguous_initials,e4cdf230,AS Roy,0.8,e57d25fa,Jaison Jerome,0.727
Jean-Paul Duminy,ambiguous_initials,2e8994e7,JP Duminy,0.72,,,
