venue_a,venue_b,similarity
Alur Cricket Stadium II,Alur Cricket Stadium III,0.979
"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -CP Ground,Mulapadu","Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",0.963
Alembic 1 Cricket Ground,Alembic 2  Cricket Ground,0.958
"Airforce Complex ground, Palam","Airforce Complex ground, Palam II",0.951
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium B,0.938
Alur Cricket Stadium,Alur Cricket Stadium II,0.93
Alur Cricket Stadium,Alur Cricket Stadium III,0.909
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",0.874
Maharashtra Cricket Association Stadium,"Saurashtra Cricket Association Stadium, Rajkot",0.857
Alur Cricket Stadium,Sharjah Cricket Stadium,0.837
Geelong Cricket Ground,Melbourne Cricket Ground,0.826
Brisbane Cricket Ground,Sydney Cricket Ground,0.818
"Punjab Cricket Association Stadium, Mohali","Vidarbha Cricket Association Stadium, Jamtha",0.81
Brisbane Cricket Ground,Melbourne Cricket Ground,0.809
BKC Ground,VCA Ground,0.8
